Comuna;FECHA_INMUNIZACION;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Cerrillos;2023-03-23;Única;372;Población General;Central
Cerrillos;2023-03-24;1° dosis;6;Población General;Central
Cerrillos;2023-03-24;Única;245;Población General;Central
Cerrillos;2023-03-25;Única;79;Población General;Central
Cerrillos;2023-03-26;Única;1;Población General;Central
Cerrillos;2023-03-27;1° dosis;12;Población General;Central
Cerrillos;2023-03-27;Única;387;Población General;Central
Cerrillos;2023-03-28;1° dosis;14;Población General;Central
Cerrillos;2023-03-28;Única;373;Población General;Central
Cerrillos;2023-03-29;1° dosis;32;Población General;Central
Cerrillos;2023-03-29;Única;692;Población General;Central
Cerrillos;2023-03-30;1° dosis;12;Población General;Central
Cerrillos;2023-03-30;Única;589;Población General;Central
Cerrillos;2023-03-31;1° dosis;6;Población General;Central
Cerrillos;2023-03-31;Única;434;Población General;Central
Cerrillos;2023-04-01;1° dosis;2;Población General;Central
Cerrillos;2023-04-01;Única;54;Población General;Central
Cerrillos;2023-04-03;1° dosis;33;Población General;Central
Cerrillos;2023-04-03;Única;408;Población General;Central
Cerrillos;2023-04-04;1° dosis;25;Población General;Central
Cerrillos;2023-04-04;Única;410;Población General;Central
Cerrillos;2023-04-05;1° dosis;28;Población General;Central
Cerrillos;2023-04-05;Única;473;Población General;Central
Cerrillos;2023-04-06;1° dosis;33;Población General;Central
Cerrillos;2023-04-06;Única;491;Población General;Central
Cerrillos;2023-04-10;1° dosis;20;Población General;Central
Cerrillos;2023-04-10;Única;391;Población General;Central
Cerrillos;2023-04-11;1° dosis;14;Población General;Central
Cerrillos;2023-04-11;Única;544;Población General;Central
Cerrillos;2023-04-12;1° dosis;24;Población General;Central
Cerrillos;2023-04-12;2° dosis;2;Población General;Central
Cerrillos;2023-04-12;Única;608;Población General;Central
Cerrillos;2023-04-13;1° dosis;59;Población General;Central
Cerrillos;2023-04-13;2° dosis;1;Población General;Central
Cerrillos;2023-04-13;EPRO;1;Población General;Central
Cerrillos;2023-04-13;Única;918;Población General;Central
Cerrillos;2023-04-14;1° dosis;30;Población General;Central
Cerrillos;2023-04-14;2° dosis;2;Población General;Central
Cerrillos;2023-04-14;Única;545;Población General;Central
Cerrillos;2023-04-15;1° dosis;1;Población General;Central
Cerrillos;2023-04-15;Única;56;Población General;Central
Cerro Navia;2023-03-15;1° dosis;4;Población General;Occidente
Cerro Navia;2023-03-15;Única;219;Población General;Occidente
Cerro Navia;2023-03-16;1° dosis;1;Población General;Occidente
Cerro Navia;2023-03-16;Única;124;Población General;Occidente
Cerro Navia;2023-03-17;1° dosis;21;Población General;Occidente
Cerro Navia;2023-03-17;Única;419;Población General;Occidente
Cerro Navia;2023-03-18;Única;2;Población General;Occidente
Cerro Navia;2023-03-20;1° dosis;37;Población General;Occidente
Cerro Navia;2023-03-20;Única;725;Población General;Occidente
Cerro Navia;2023-03-21;1° dosis;16;Población General;Occidente
Cerro Navia;2023-03-21;Única;617;Población General;Occidente
Cerro Navia;2023-03-22;1° dosis;30;Población General;Occidente
Cerro Navia;2023-03-22;Única;631;Población General;Occidente
Cerro Navia;2023-03-23;1° dosis;21;Población General;Occidente
Cerro Navia;2023-03-23;Única;696;Población General;Occidente
Cerro Navia;2023-03-24;1° dosis;31;Población General;Occidente
Cerro Navia;2023-03-24;Única;654;Población General;Occidente
Cerro Navia;2023-03-25;Única;175;Población General;Occidente
Cerro Navia;2023-03-27;1° dosis;42;Población General;Occidente
Cerro Navia;2023-03-27;Única;845;Población General;Occidente
Cerro Navia;2023-03-28;1° dosis;29;Población General;Occidente
Cerro Navia;2023-03-28;Única;736;Población General;Occidente
Cerro Navia;2023-03-29;1° dosis;26;Población General;Occidente
Cerro Navia;2023-03-29;Única;714;Población General;Occidente
Cerro Navia;2023-03-30;1° dosis;28;Población General;Occidente
Cerro Navia;2023-03-30;2° dosis;1;Población General;Occidente
Cerro Navia;2023-03-30;Única;748;Población General;Occidente
Cerro Navia;2023-03-31;1° dosis;23;Población General;Occidente
Cerro Navia;2023-03-31;2° dosis;1;Población General;Occidente
Cerro Navia;2023-03-31;Única;618;Población General;Occidente
Cerro Navia;2023-04-01;1° dosis;2;Población General;Occidente
Cerro Navia;2023-04-01;Única;163;Población General;Occidente
Cerro Navia;2023-04-03;1° dosis;41;Población General;Occidente
Cerro Navia;2023-04-03;Única;857;Población General;Occidente
Cerro Navia;2023-04-04;1° dosis;80;Población General;Occidente
Cerro Navia;2023-04-04;Única;942;Población General;Occidente
Cerro Navia;2023-04-05;1° dosis;38;Población General;Occidente
Cerro Navia;2023-04-05;Única;699;Población General;Occidente
Cerro Navia;2023-04-06;1° dosis;41;Población General;Occidente
Cerro Navia;2023-04-06;Única;617;Población General;Occidente
Cerro Navia;2023-04-10;1° dosis;58;Población General;Occidente
Cerro Navia;2023-04-10;Única;787;Población General;Occidente
Cerro Navia;2023-04-11;1° dosis;30;Población General;Occidente
Cerro Navia;2023-04-11;EPRO;1;Población General;Occidente
Cerro Navia;2023-04-11;Única;645;Población General;Occidente
Cerro Navia;2023-04-12;1° dosis;32;Población General;Occidente
Cerro Navia;2023-04-12;Única;931;Población General;Occidente
Cerro Navia;2023-04-13;1° dosis;94;Población General;Occidente
Cerro Navia;2023-04-13;2° dosis;2;Población General;Occidente
Cerro Navia;2023-04-13;EPRO;1;Población General;Occidente
Cerro Navia;2023-04-13;Única;913;Población General;Occidente
Cerro Navia;2023-04-14;1° dosis;33;Población General;Occidente
Cerro Navia;2023-04-14;2° dosis;3;Población General;Occidente
Cerro Navia;2023-04-14;Única;614;Población General;Occidente
Cerro Navia;2023-04-15;Única;181;Población General;Occidente
Colina;2023-03-15;1° dosis;7;Población General;Norte
Colina;2023-03-15;Única;507;Población General;Norte
Colina;2023-03-16;1° dosis;33;Población General;Norte
Colina;2023-03-16;Única;629;Población General;Norte
Colina;2023-03-17;1° dosis;22;Población General;Norte
Colina;2023-03-17;Única;544;Población General;Norte
Colina;2023-03-18;1° dosis;1;Población General;Norte
Colina;2023-03-18;Única;51;Población General;Norte
Colina;2023-03-20;1° dosis;59;Población General;Norte
Colina;2023-03-20;Única;904;Población General;Norte
Colina;2023-03-21;1° dosis;79;Población General;Norte
Colina;2023-03-21;Única;1007;Población General;Norte
Colina;2023-03-22;1° dosis;89;Población General;Norte
Colina;2023-03-22;Única;877;Población General;Norte
Colina;2023-03-23;1° dosis;57;Población General;Norte
Colina;2023-03-23;Única;837;Población General;Norte
Colina;2023-03-24;1° dosis;43;Población General;Norte
Colina;2023-03-24;Única;641;Población General;Norte
Colina;2023-03-25;1° dosis;2;Población General;Norte
Colina;2023-03-25;Única;80;Población General;Norte
Colina;2023-03-27;1° dosis;72;Población General;Norte
Colina;2023-03-27;Única;763;Población General;Norte
Colina;2023-03-28;1° dosis;47;Población General;Norte
Colina;2023-03-28;Única;689;Población General;Norte
Colina;2023-03-29;1° dosis;59;Población General;Norte
Colina;2023-03-29;Única;794;Población General;Norte
Colina;2023-03-30;1° dosis;72;Población General;Norte
Colina;2023-03-30;Única;810;Población General;Norte
Colina;2023-03-31;1° dosis;61;Población General;Norte
Colina;2023-03-31;Única;724;Población General;Norte
Colina;2023-04-01;1° dosis;3;Población General;Norte
Colina;2023-04-01;Única;69;Población General;Norte
Colina;2023-04-03;1° dosis;61;Población General;Norte
Colina;2023-04-03;Única;736;Población General;Norte
Colina;2023-04-04;1° dosis;87;Población General;Norte
Colina;2023-04-04;2° dosis;1;Población General;Norte
Colina;2023-04-04;Única;889;Población General;Norte
Colina;2023-04-05;1° dosis;64;Población General;Norte
Colina;2023-04-05;EPRO;1;Población General;Norte
Colina;2023-04-05;Única;635;Población General;Norte
Colina;2023-04-06;1° dosis;35;Población General;Norte
Colina;2023-04-06;Única;741;Población General;Norte
Colina;2023-04-10;1° dosis;47;Población General;Norte
Colina;2023-04-10;Única;702;Población General;Norte
Colina;2023-04-11;1° dosis;45;Población General;Norte
Colina;2023-04-11;EPRO;1;Población General;Norte
Colina;2023-04-11;Única;689;Población General;Norte
Colina;2023-04-12;1° dosis;38;Población General;Norte
Colina;2023-04-12;Única;600;Población General;Norte
Colina;2023-04-13;1° dosis;95;Población General;Norte
Colina;2023-04-13;Única;901;Población General;Norte
Colina;2023-04-14;1° dosis;43;Población General;Norte
Colina;2023-04-14;2° dosis;1;Población General;Norte
Colina;2023-04-14;Única;751;Población General;Norte
Colina;2023-04-15;1° dosis;4;Población General;Norte
Colina;2023-04-15;2° dosis;1;Población General;Norte
Colina;2023-04-15;Única;47;Población General;Norte
Conchalí;2023-03-15;1° dosis;7;Población General;Norte
Conchalí;2023-03-15;Única;421;Población General;Norte
Conchalí;2023-03-16;1° dosis;6;Población General;Norte
Conchalí;2023-03-16;Única;336;Población General;Norte
Conchalí;2023-03-17;1° dosis;14;Población General;Norte
Conchalí;2023-03-17;Única;582;Población General;Norte
Conchalí;2023-03-18;Única;112;Población General;Norte
Conchalí;2023-03-20;1° dosis;24;Población General;Norte
Conchalí;2023-03-20;Única;859;Población General;Norte
Conchalí;2023-03-21;1° dosis;11;Población General;Norte
Conchalí;2023-03-21;Única;845;Población General;Norte
Conchalí;2023-03-22;1° dosis;10;Población General;Norte
Conchalí;2023-03-22;Única;771;Población General;Norte
Conchalí;2023-03-23;1° dosis;23;Población General;Norte
Conchalí;2023-03-23;Única;748;Población General;Norte
Conchalí;2023-03-24;1° dosis;15;Población General;Norte
Conchalí;2023-03-24;Única;719;Población General;Norte
Conchalí;2023-03-25;Única;84;Población General;Norte
Conchalí;2023-03-27;1° dosis;16;Población General;Norte
Conchalí;2023-03-27;Única;772;Población General;Norte
Conchalí;2023-03-28;1° dosis;19;Población General;Norte
Conchalí;2023-03-28;Única;738;Población General;Norte
Conchalí;2023-03-29;1° dosis;21;Población General;Norte
Conchalí;2023-03-29;Única;590;Población General;Norte
Conchalí;2023-03-30;1° dosis;20;Población General;Norte
Conchalí;2023-03-30;Única;580;Población General;Norte
Conchalí;2023-03-31;1° dosis;11;Población General;Norte
Conchalí;2023-03-31;Única;526;Población General;Norte
Conchalí;2023-04-01;1° dosis;7;Población General;Norte
Conchalí;2023-04-01;Única;137;Población General;Norte
Conchalí;2023-04-03;1° dosis;16;Población General;Norte
Conchalí;2023-04-03;Única;672;Población General;Norte
Conchalí;2023-04-04;1° dosis;17;Población General;Norte
Conchalí;2023-04-04;Única;572;Población General;Norte
Conchalí;2023-04-05;1° dosis;7;Población General;Norte
Conchalí;2023-04-05;Única;504;Población General;Norte
Conchalí;2023-04-06;1° dosis;18;Población General;Norte
Conchalí;2023-04-06;Única;554;Población General;Norte
Conchalí;2023-04-10;1° dosis;60;Población General;Norte
Conchalí;2023-04-10;Única;966;Población General;Norte
Conchalí;2023-04-11;1° dosis;97;Población General;Norte
Conchalí;2023-04-11;2° dosis;1;Población General;Norte
Conchalí;2023-04-11;EPRO;1;Población General;Norte
Conchalí;2023-04-11;Única;1153;Población General;Norte
Conchalí;2023-04-12;1° dosis;64;Población General;Norte
Conchalí;2023-04-12;2° dosis;1;Población General;Norte
Conchalí;2023-04-12;Única;796;Población General;Norte
Conchalí;2023-04-13;1° dosis;61;Población General;Norte
Conchalí;2023-04-13;2° dosis;4;Población General;Norte
Conchalí;2023-04-13;Única;1102;Población General;Norte
Conchalí;2023-04-14;1° dosis;69;Población General;Norte
Conchalí;2023-04-14;2° dosis;3;Población General;Norte
Conchalí;2023-04-14;Única;895;Población General;Norte
Conchalí;2023-04-15;1° dosis;1;Población General;Norte
Conchalí;2023-04-15;Única;186;Población General;Norte
Curacaví;2023-03-15;1° dosis;5;Población General;Occidente
Curacaví;2023-03-15;Única;94;Población General;Occidente
Curacaví;2023-03-16;1° dosis;3;Población General;Occidente
Curacaví;2023-03-16;Única;89;Población General;Occidente
Curacaví;2023-03-17;1° dosis;5;Población General;Occidente
Curacaví;2023-03-17;Única;149;Población General;Occidente
Curacaví;2023-03-18;Única;3;Población General;Occidente
Curacaví;2023-03-20;1° dosis;5;Población General;Occidente
Curacaví;2023-03-20;Única;168;Población General;Occidente
Curacaví;2023-03-21;1° dosis;6;Población General;Occidente
Curacaví;2023-03-21;Única;173;Población General;Occidente
Curacaví;2023-03-22;1° dosis;5;Población General;Occidente
Curacaví;2023-03-22;Única;150;Población General;Occidente
Curacaví;2023-03-23;1° dosis;6;Población General;Occidente
Curacaví;2023-03-23;Única;157;Población General;Occidente
Curacaví;2023-03-24;1° dosis;3;Población General;Occidente
Curacaví;2023-03-24;Única;145;Población General;Occidente
Curacaví;2023-03-27;1° dosis;5;Población General;Occidente
Curacaví;2023-03-27;Única;118;Población General;Occidente
Curacaví;2023-03-28;1° dosis;2;Población General;Occidente
Curacaví;2023-03-28;Única;184;Población General;Occidente
Curacaví;2023-03-29;1° dosis;4;Población General;Occidente
Curacaví;2023-03-29;Única;116;Población General;Occidente
Curacaví;2023-03-30;1° dosis;6;Población General;Occidente
Curacaví;2023-03-30;Única;152;Población General;Occidente
Curacaví;2023-03-31;1° dosis;1;Población General;Occidente
Curacaví;2023-03-31;Única;130;Población General;Occidente
Curacaví;2023-04-01;1° dosis;1;Población General;Occidente
Curacaví;2023-04-03;1° dosis;3;Población General;Occidente
Curacaví;2023-04-03;Única;148;Población General;Occidente
Curacaví;2023-04-04;1° dosis;5;Población General;Occidente
Curacaví;2023-04-04;Única;158;Población General;Occidente
Curacaví;2023-04-05;1° dosis;15;Población General;Occidente
Curacaví;2023-04-05;Única;209;Población General;Occidente
Curacaví;2023-04-06;1° dosis;23;Población General;Occidente
Curacaví;2023-04-06;Única;172;Población General;Occidente
Curacaví;2023-04-10;1° dosis;9;Población General;Occidente
Curacaví;2023-04-10;Única;181;Población General;Occidente
Curacaví;2023-04-11;1° dosis;23;Población General;Occidente
Curacaví;2023-04-11;EPRO;1;Población General;Occidente
Curacaví;2023-04-11;Única;154;Población General;Occidente
Curacaví;2023-04-12;1° dosis;12;Población General;Occidente
Curacaví;2023-04-12;EPRO;2;Población General;Occidente
Curacaví;2023-04-12;Única;193;Población General;Occidente
Curacaví;2023-04-13;1° dosis;5;Población General;Occidente
Curacaví;2023-04-13;Única;136;Población General;Occidente
Curacaví;2023-04-14;1° dosis;4;Población General;Occidente
Curacaví;2023-04-14;2° dosis;2;Población General;Occidente
Curacaví;2023-04-14;Única;82;Población General;Occidente
El Bosque;2023-03-15;1° dosis;2;Población General;Sur
El Bosque;2023-03-15;Única;246;Población General;Sur
El Bosque;2023-03-16;1° dosis;3;Población General;Sur
El Bosque;2023-03-16;Única;230;Población General;Sur
El Bosque;2023-03-17;1° dosis;33;Población General;Sur
El Bosque;2023-03-17;Única;1588;Población General;Sur
El Bosque;2023-03-18;1° dosis;2;Población General;Sur
El Bosque;2023-03-18;Única;396;Población General;Sur
El Bosque;2023-03-20;1° dosis;39;Población General;Sur
El Bosque;2023-03-20;Única;1790;Población General;Sur
El Bosque;2023-03-21;1° dosis;63;Población General;Sur
El Bosque;2023-03-21;Única;1709;Población General;Sur
El Bosque;2023-03-22;1° dosis;76;Población General;Sur
El Bosque;2023-03-22;Única;1832;Población General;Sur
El Bosque;2023-03-23;1° dosis;50;Población General;Sur
El Bosque;2023-03-23;Única;1635;Población General;Sur
El Bosque;2023-03-24;1° dosis;56;Población General;Sur
El Bosque;2023-03-24;Única;1332;Población General;Sur
El Bosque;2023-03-25;1° dosis;4;Población General;Sur
El Bosque;2023-03-25;Única;582;Población General;Sur
El Bosque;2023-03-27;1° dosis;100;Población General;Sur
El Bosque;2023-03-27;Única;1826;Población General;Sur
El Bosque;2023-03-28;1° dosis;58;Población General;Sur
El Bosque;2023-03-28;Única;1784;Población General;Sur
El Bosque;2023-03-29;1° dosis;58;Población General;Sur
El Bosque;2023-03-29;Única;1207;Población General;Sur
El Bosque;2023-03-30;1° dosis;55;Población General;Sur
El Bosque;2023-03-30;Única;1311;Población General;Sur
El Bosque;2023-03-31;1° dosis;48;Población General;Sur
El Bosque;2023-03-31;Única;1080;Población General;Sur
El Bosque;2023-04-01;1° dosis;3;Población General;Sur
El Bosque;2023-04-01;EPRO;1;Población General;Sur
El Bosque;2023-04-01;Única;575;Población General;Sur
El Bosque;2023-04-03;1° dosis;51;Población General;Sur
El Bosque;2023-04-03;Única;1398;Población General;Sur
El Bosque;2023-04-04;1° dosis;61;Población General;Sur
El Bosque;2023-04-04;Única;1350;Población General;Sur
El Bosque;2023-04-05;1° dosis;110;Población General;Sur
El Bosque;2023-04-05;Única;1211;Población General;Sur
El Bosque;2023-04-06;1° dosis;42;Población General;Sur
El Bosque;2023-04-06;Única;1137;Población General;Sur
El Bosque;2023-04-10;1° dosis;53;Población General;Sur
El Bosque;2023-04-10;Única;951;Población General;Sur
El Bosque;2023-04-11;1° dosis;44;Población General;Sur
El Bosque;2023-04-11;EPRO;1;Población General;Sur
El Bosque;2023-04-11;Única;1081;Población General;Sur
El Bosque;2023-04-12;1° dosis;65;Población General;Sur
El Bosque;2023-04-12;Única;1278;Población General;Sur
El Bosque;2023-04-13;1° dosis;59;Población General;Sur
El Bosque;2023-04-13;Única;1389;Población General;Sur
El Bosque;2023-04-14;1° dosis;66;Población General;Sur
El Bosque;2023-04-14;2° dosis;2;Población General;Sur
El Bosque;2023-04-14;Única;1024;Población General;Sur
El Bosque;2023-04-15;2° dosis;1;Población General;Sur
El Bosque;2023-04-15;Única;317;Población General;Sur
El Monte;2023-03-15;1° dosis;1;Población General;Occidente
El Monte;2023-03-15;Única;35;Población General;Occidente
El Monte;2023-03-16;1° dosis;3;Población General;Occidente
El Monte;2023-03-16;Única;64;Población General;Occidente
El Monte;2023-03-17;1° dosis;2;Población General;Occidente
El Monte;2023-03-17;Única;99;Población General;Occidente
El Monte;2023-03-18;Única;16;Población General;Occidente
El Monte;2023-03-20;1° dosis;8;Población General;Occidente
El Monte;2023-03-20;Única;160;Población General;Occidente
El Monte;2023-03-21;1° dosis;2;Población General;Occidente
El Monte;2023-03-21;Única;342;Población General;Occidente
El Monte;2023-03-22;1° dosis;6;Población General;Occidente
El Monte;2023-03-22;Única;287;Población General;Occidente
El Monte;2023-03-23;1° dosis;13;Población General;Occidente
El Monte;2023-03-23;Única;211;Población General;Occidente
El Monte;2023-03-24;1° dosis;1;Población General;Occidente
El Monte;2023-03-24;Única;117;Población General;Occidente
El Monte;2023-03-25;Única;21;Población General;Occidente
El Monte;2023-03-27;1° dosis;4;Población General;Occidente
El Monte;2023-03-27;Única;128;Población General;Occidente
El Monte;2023-03-28;1° dosis;3;Población General;Occidente
El Monte;2023-03-28;Única;153;Población General;Occidente
El Monte;2023-03-29;1° dosis;3;Población General;Occidente
El Monte;2023-03-29;Única;165;Población General;Occidente
