Servicio;Comuna;CODIGO_DEIS;Establecimiento;Criterio_elegibilidad;N° de vacunados;Código Antiguo ;latitud;longitud
Central;Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;33;11-307;-33.501479;-70.733545
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Embarazadas;43;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Enfermos cronicos de 11 a 64 años de edad;465;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Escolares de 1° a 5° año básico;37;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Niños y niñas de 6 meses a 5 años de edad;98;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Otras prioridades;2;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;P. de salud: Privado;4;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;P. de salud: Público;150;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Personas mayores de 65 años y más;812;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Población General;1587;11-302;-33.47284;-70.691894
Central;Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;5;11-302;-33.47284;-70.691894
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Embarazadas;43;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Enfermos cronicos de 11 a 64 años de edad;888;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Escolares de 1° a 5° año básico;40;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Niños y niñas de 6 meses a 5 años de edad;125;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Otras prioridades;3;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;P. de salud: Privado;10;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;P. de salud: Público;98;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Personas mayores de 65 años y más;1826;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Población General;3115;11-306;-33.473682;-70.705982
Central;Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;18;11-306;-33.473682;-70.705982
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Embarazadas;123;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Enfermos cronicos de 11 a 64 años de edad;613;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Escolares de 1° a 5° año básico;71;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Niños y niñas de 6 meses a 5 años de edad;388;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Otras prioridades;1;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;P. de salud: Privado;1;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;P. de salud: Público;121;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Personas mayores de 65 años y más;1089;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Población General;2382;11-310;-33.451977;-70.703928
Central;Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;5;11-310;-33.451977;-70.703928
Central;Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Enfermos cronicos de 11 a 64 años de edad;4;11-101;-33.508212;-70.774248
Central;Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Otras prioridades;4;11-101;-33.508212;-70.774248
Central;Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;P. de salud: Público;1621;11-101;-33.508212;-70.774248
Central;Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Personas mayores de 65 años y más;33;11-101;-33.508212;-70.774248
Central;Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Población General;1651;11-101;-33.508212;-70.774248
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Embarazadas;81;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Enfermos cronicos de 11 a 64 años de edad;1228;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Escolares de 1° a 5° año básico;127;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Estrategia Capullo;5;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Niños y niñas de 6 meses a 5 años de edad;283;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Otras prioridades;26;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;P. de salud: Privado;30;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;P. de salud: Público;187;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Personas mayores de 65 años y más;3316;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Población General;5321;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Trabajadores de avícolas y de criaderos de cerdo;1;11-304;-33.504315;-70.75815
Central;Maipú;11-304;Centro de Salud Familiar Maipú;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;10;11-304;-33.504315;-70.75815
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Embarazadas;87;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Enfermos cronicos de 11 a 64 años de edad;1047;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Escolares de 1° a 5° año básico;109;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Estrategia Capullo;4;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Niños y niñas de 6 meses a 5 años de edad;316;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;P. de salud: Privado;8;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;P. de salud: Público;115;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Personas mayores de 65 años y más;1927;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Población General;3589;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Trabajadores de avícolas y de criaderos de cerdo;1;11-308;-33.505433;-70.774352
Central;Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;23;11-308;-33.505433;-70.774352
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Embarazadas;53;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Enfermos cronicos de 11 a 64 años de edad;655;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Escolares de 1° a 5° año básico;19;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Niños y niñas de 6 meses a 5 años de edad;219;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Otras prioridades;5;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;P. de salud: Privado;7;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;P. de salud: Público;101;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Personas mayores de 65 años y más;763;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Población General;1830;11-309;-33.514065;-70.796603
Central;Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;44;11-309;-33.514065;-70.796603
Central;Maipú;11-351;Centro de Referencia de Salud de Maipú;Enfermos cronicos de 11 a 64 años de edad;1;11-351;-33.508774;-70.771857
Central;Maipú;11-351;Centro de Referencia de Salud de Maipú;P. de salud: Público;107;11-351;-33.508774;-70.771857
Central;Maipú;11-351;Centro de Referencia de Salud de Maipú;Personas mayores de 65 años y más;5;11-351;-33.508774;-70.771857
Central;Maipú;11-351;Centro de Referencia de Salud de Maipú;Población General;113;11-351;-33.508774;-70.771857
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Embarazadas;52;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Enfermos cronicos de 11 a 64 años de edad;1201;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Escolares de 1° a 5° año básico;153;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Niños y niñas de 6 meses a 5 años de edad;207;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Otras prioridades;14;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;P. de salud: Privado;22;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;P. de salud: Público;153;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Personas mayores de 65 años y más;1635;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Población General;3418;11-378;-33.484273;-70.771353
Central;Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;17;11-378;-33.484273;-70.771353
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Embarazadas;40;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Enfermos cronicos de 11 a 64 años de edad;1104;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Escolares de 1° a 5° año básico;926;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Estrategia Capullo;1;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Niños y niñas de 6 meses a 5 años de edad;436;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Otras prioridades;3;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;P. de salud: Privado;98;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;P. de salud: Público;283;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Personas mayores de 65 años y más;2345;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Población General;5358;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Trabajadores de avícolas y de criaderos de cerdo;3;11-379;-33.490025;-70.744879
Central;Maipú;11-379;Centro de Salud Familiar Clotario Blest;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;186;11-379;-33.490025;-70.744879
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Embarazadas;55;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Enfermos cronicos de 11 a 64 años de edad;1630;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Escolares de 1° a 5° año básico;147;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Estrategia Capullo;4;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Niños y niñas de 6 meses a 5 años de edad;298;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;P. de salud: Privado;50;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;P. de salud: Público;178;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Personas mayores de 65 años y más;1797;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Población General;4211;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Trabajadores de avícolas y de criaderos de cerdo;2;11-380;-33.52776;-70.796393
Central;Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;89;11-380;-33.52776;-70.796393
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Embarazadas;85;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Enfermos cronicos de 11 a 64 años de edad;1284;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Escolares de 1° a 5° año básico;737;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Niños y niñas de 6 meses a 5 años de edad;348;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;P. de salud: Privado;193;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;P. de salud: Público;148;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Personas mayores de 65 años y más;2939;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Población General;5749;11-382;-33.525395;-70.767836
Central;Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;31;11-382;-33.525395;-70.767836
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Embarazadas;40;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Enfermos cronicos de 11 a 64 años de edad;873;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Escolares de 1° a 5° año básico;58;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Estrategia Capullo;1;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Niños y niñas de 6 meses a 5 años de edad;202;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Otras prioridades;1;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;P. de salud: Privado;31;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;P. de salud: Público;113;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Personas mayores de 65 años y más;1351;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Población General;2632;11-383;-33.473168;-70.75602
Central;Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;16;11-383;-33.473168;-70.75602
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Embarazadas;5;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Enfermos cronicos de 11 a 64 años de edad;582;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Escolares de 1° a 5° año básico;28;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Estrategia Capullo;22;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Niños y niñas de 6 meses a 5 años de edad;39;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Otras prioridades;4;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;P. de salud: Privado;6;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;P. de salud: Público;2267;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Personas mayores de 65 años y más;513;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Población General;3431;11-100;-33.460498;-70.64232
Central;Santiago;11-100;Hospital Clínico San Borja Arriarán;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;11-100;-33.460498;-70.64232
Central;Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;P. de salud: Privado;1;11-195;-33.444004;-70.637955
Central;Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;P. de salud: Público;2125;11-195;-33.444004;-70.637955
Central;Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;Personas mayores de 65 años y más;42;11-195;-33.444004;-70.637955
Central;Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;Población General;2157;11-195;-33.444004;-70.637955
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Embarazadas;85;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Enfermos cronicos de 11 a 64 años de edad;509;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Escolares de 1° a 5° año básico;186;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Niños y niñas de 6 meses a 5 años de edad;631;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;P. de salud: Privado;44;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;P. de salud: Público;182;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Personas mayores de 65 años y más;1122;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Población General;2835;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Trabajadores de avícolas y de criaderos de cerdo;1;11-300;-33.455442;-70.652731
Central;Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;96;11-300;-33.455442;-70.652731
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Embarazadas;51;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Enfermos cronicos de 11 a 64 años de edad;392;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Escolares de 1° a 5° año básico;29;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Niños y niñas de 6 meses a 5 años de edad;161;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Otras prioridades;18;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;P. de salud: Privado;20;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;P. de salud: Público;99;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Personas mayores de 65 años y más;955;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Población General;1700;11-301;-33.45118;-70.673769
Central;Santiago;11-301;Centro de Salud Familiar Nº 5;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;11-301;-33.45118;-70.673769
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Embarazadas;57;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Enfermos cronicos de 11 a 64 años de edad;1126;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Escolares de 1° a 5° año básico;47;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Estrategia Capullo;2;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Niños y niñas de 6 meses a 5 años de edad;158;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;P. de salud: Privado;323;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;P. de salud: Público;180;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Personas mayores de 65 años y más;1374;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Población General;3244;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Trabajadores de avícolas y de criaderos de cerdo;2;11-370;-33.466621;-70.629593
Central;Santiago;11-370;Centro de Salud Familiar Padre Orellana;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;14;11-370;-33.466621;-70.629593
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Embarazadas;27;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Enfermos cronicos de 11 a 64 años de edad;351;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Escolares de 1° a 5° año básico;25;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Niños y niñas de 6 meses a 5 años de edad;81;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Otras prioridades;7;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;P. de salud: Privado;5;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;P. de salud: Público;233;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Personas mayores de 65 años y más;665;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Población General;1392;11-372;-33.46803;-70.670454
Central;Santiago;11-372;Centro de Salud Familiar Arauco;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;2;11-372;-33.46803;-70.670454
Central;Santiago;11-376;Centro de Salud Familiar Matta Sur;Embarazadas;98;11-376;-33.461578;-70.655451
Central;Santiago;11-376;Centro de Salud Familiar Matta Sur;Enfermos cronicos de 11 a 64 años de edad;562;11-376;-33.461578;-70.655451
Central;Santiago;11-376;Centro de Salud Familiar Matta Sur;Escolares de 1° a 5° año básico;51;11-376;-33.461578;-70.655451
