Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Código Antiguo ;latitud;longitud
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;1° dosis;9;Población General;Norte;09-419;-33.240239;-70.736763
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;410;Población General;Norte;09-419;-33.240239;-70.736763
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);1° dosis;1;Población General;Norte;09-420;-33.043488;-70.693602
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);Única;188;Población General;Norte;09-420;-33.043488;-70.693602
Colina;09-716;Centro Comunitario de Salud Familiar Esmeralda;Única;231;Población General;Norte;09-716;-33.183727;-70.663439
Colina;09-810;SAR Colina;Única;161;Población General;Norte;09-810;-33.206836;-70.677463
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;1° dosis;114;Población General;Norte;09-905;-33.286284;-70.651801
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;1116;Población General;Norte;09-905;-33.286284;-70.651801
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);1° dosis;86;Población General;Norte;09-927;-33.283002;-70.651101
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;1085;Población General;Norte;09-927;-33.283002;-70.651101
Colina;201087;VACUNATORIO CHICUREO SpA;1° dosis;2;Población General;Norte;201087;-33.278421;-70.706218
Colina;201087;VACUNATORIO CHICUREO SpA;Única;58;Población General;Norte;201087;-33.278421;-70.706218
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;1° dosis;191;Población General;Norte;09-302;-33.388856;-70.671249
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;2° dosis;6;Población General;Norte;09-302;-33.388856;-70.671249
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;EPRO;1;Población General;Norte;09-302;-33.388856;-70.671249
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;Única;6360;Población General;Norte;09-302;-33.388856;-70.671249
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;1° dosis;106;Población General;Norte;09-308;-33.394414;-70.658337
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;Única;2915;Población General;Norte;09-308;-33.394414;-70.658337
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;1° dosis;189;Población General;Norte;09-309;-33.378315;-70.692373
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;2° dosis;3;Población General;Norte;09-309;-33.378315;-70.692373
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;Única;3792;Población General;Norte;09-309;-33.378315;-70.692373
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;1° dosis;102;Población General;Norte;09-314;-33.370386;-70.683005
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;Única;3154;Población General;Norte;09-314;-33.370386;-70.683005
Curacaví;10-160;Hospital de Curacaví;1° dosis;143;Población General;Occidente;10-160;-33.4095;-71.145664
Curacaví;10-160;Hospital de Curacaví;2° dosis;1;Población General;Occidente;10-160;-33.4095;-71.145664
Curacaví;10-160;Hospital de Curacaví;EPRO;3;Población General;Occidente;10-160;-33.4095;-71.145664
Curacaví;10-160;Hospital de Curacaví;Única;3330;Población General;Occidente;10-160;-33.4095;-71.145664
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;1° dosis;245;Población General;Sur;13-312;-33.554149;-70.666968
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;EPRO;1;Población General;Sur;13-312;-33.554149;-70.666968
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única;6065;Población General;Sur;13-312;-33.554149;-70.666968
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;1° dosis;328;Población General;Sur;13-314;-33.561362;-70.674691
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;2° dosis;1;Población General;Sur;13-314;-33.561362;-70.674691
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;Única;6685;Población General;Sur;13-314;-33.561362;-70.674691
El Bosque;13-317;Centro de Salud Familiar Santa Laura;1° dosis;158;Población General;Sur;13-317;-33.552491;-70.688809
El Bosque;13-317;Centro de Salud Familiar Santa Laura;EPRO;1;Población General;Sur;13-317;-33.552491;-70.688809
El Bosque;13-317;Centro de Salud Familiar Santa Laura;Única;4556;Población General;Sur;13-317;-33.552491;-70.688809
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;1° dosis;145;Población General;Sur;13-323;-33.582081;-70.668768
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;2° dosis;2;Población General;Sur;13-323;-33.582081;-70.668768
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única;4263;Población General;Sur;13-323;-33.582081;-70.668768
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;1° dosis;108;Población General;Sur;13-324;-33.572212;-70.667054
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única;4809;Población General;Sur;13-324;-33.572212;-70.667054
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;1° dosis;240;Población General;Sur;13-329;-33.578041;-70.67785
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única;5235;Población General;Sur;13-329;-33.578041;-70.67785
El Monte;10-370;Centro de Salud Familiar El Monte;1° dosis;84;Población General;Occidente;10-370;-33.681919;-70.986091
El Monte;10-370;Centro de Salud Familiar El Monte;2° dosis;3;Población General;Occidente;10-370;-33.681919;-70.986091
El Monte;10-370;Centro de Salud Familiar El Monte;Única;3588;Población General;Occidente;10-370;-33.681919;-70.986091
Estación Central;11-202;Hospital Clínico Mutual de Seguridad C.CH.C.;Única;1731;Población General;Central;11-202;-33.45676;-70.700784
Estación Central;11-230;Clínica Hospital del Profesor;1° dosis;118;Población General;Central;11-230;-33.457755;-70.702639
Estación Central;11-230;Clínica Hospital del Profesor;Única;1133;Población General;Central;11-230;-33.457755;-70.702639
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;1° dosis;166;Población General;Central;11-295;-33.457336;-70.701792
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;Única;2191;Población General;Central;11-295;-33.457336;-70.701792
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;1° dosis;301;Población General;Central;11-302;-33.47284;-70.691894
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;2° dosis;1;Población General;Central;11-302;-33.47284;-70.691894
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Única;3378;Población General;Central;11-302;-33.47284;-70.691894
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;1° dosis;372;Población General;Central;11-306;-33.473682;-70.705982
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;2° dosis;1;Población General;Central;11-306;-33.473682;-70.705982
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;EPRO;1;Población General;Central;11-306;-33.473682;-70.705982
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Única;6961;Población General;Central;11-306;-33.473682;-70.705982
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;1° dosis;374;Población General;Central;11-310;-33.451977;-70.703928
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;2° dosis;5;Población General;Central;11-310;-33.451977;-70.703928
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;EPRO;3;Población General;Central;11-310;-33.451977;-70.703928
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Única;4696;Población General;Central;11-310;-33.451977;-70.703928
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;1° dosis;268;Población General;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;EPRO;1;Población General;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;Única;5160;Población General;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-317;Centro de Salud Familiar El Barrero;1° dosis;179;Población General;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-317;Centro de Salud Familiar El Barrero;2° dosis;1;Población General;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-317;Centro de Salud Familiar El Barrero;EPRO;1;Población General;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-317;Centro de Salud Familiar El Barrero;Única;4310;Población General;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;1° dosis;276;Población General;Norte;09-323;-33.363415;-70.632789
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;Única;2922;Población General;Norte;09-323;-33.363415;-70.632789
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;1° dosis;87;Población General;Norte;09-718;-33.360049;-70.683527
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;Única;1989;Población General;Norte;09-718;-33.360049;-70.683527
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;1° dosis;572;Población General;Norte;09-915;-33.352605;-70.67705
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;2° dosis;2;Población General;Norte;09-915;-33.352605;-70.67705
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;Única;5462;Población General;Norte;09-915;-33.352605;-70.67705
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);EPRO;1;Población General;Norte;09-100;-33.416586;-70.653318
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);Única;2889;Población General;Norte;09-100;-33.416586;-70.653318
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);1° dosis;25;Población General;Norte;09-101;-33.415335;-70.655086
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);Única;1281;Población General;Norte;09-101;-33.415335;-70.655086
Independencia;09-200;Hospital Clínico Universidad de Chile;1° dosis;36;Población General;Norte;09-200;-33.420057;-70.653116
Independencia;09-200;Hospital Clínico Universidad de Chile;Única;4054;Población General;Norte;09-200;-33.420057;-70.653116
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;1° dosis;323;Población General;Norte;09-300;-33.415155;-70.657119
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;2° dosis;5;Población General;Norte;09-300;-33.415155;-70.657119
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;EPRO;4;Población General;Norte;09-300;-33.415155;-70.657119
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;Única;8343;Población General;Norte;09-300;-33.415155;-70.657119
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;1° dosis;54;Población General;Norte;09-321;-33.417373;-70.668652
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;2° dosis;1;Población General;Norte;09-321;-33.417373;-70.668652
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;EPRO;1;Población General;Norte;09-321;-33.417373;-70.668652
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;Única;3206;Población General;Norte;09-321;-33.417373;-70.668652
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;1° dosis;87;Población General;Occidente;10-375;-33.749042;-70.903306
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;EPRO;4;Población General;Occidente;10-375;-33.749042;-70.903306
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Única;3490;Población General;Occidente;10-375;-33.749042;-70.903306
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;1° dosis;86;Población General;Occidente;10-425;-33.734795;-70.861701
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Única;2429;Población General;Occidente;10-425;-33.734795;-70.861701
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;1° dosis;195;Población General;Sur;13-311;-33.529594;-70.667368
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;2° dosis;4;Población General;Sur;13-311;-33.529594;-70.667368
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;Única;6782;Población General;Sur;13-311;-33.529594;-70.667368
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;1° dosis;127;Población General;Sur;13-326;-33.538937;-70.66238
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;2° dosis;11;Población General;Sur;13-326;-33.538937;-70.66238
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;EPRO;1;Población General;Sur;13-326;-33.538937;-70.66238
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única;7145;Población General;Sur;13-326;-33.538937;-70.66238
La Florida;14-105;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Única;1938;Población General;Suroriente;14-105;-33.514161;-70.599148
La Florida;14-223;Clínica Vespucio;1° dosis;186;Población General;Suroriente;14-223;-33.519116;-70.596867
La Florida;14-223;Clínica Vespucio;2° dosis;2;Población General;Suroriente;14-223;-33.519116;-70.596867
La Florida;14-223;Clínica Vespucio;Única;2161;Población General;Suroriente;14-223;-33.519116;-70.596867
La Florida;14-302;Centro de Salud Familiar Los Castaños;1° dosis;88;Población General;Suroriente;14-302;-33.511875;-70.577975
La Florida;14-302;Centro de Salud Familiar Los Castaños;Única;1208;Población General;Suroriente;14-302;-33.511875;-70.577975
La Florida;14-303;Centro de Salud Familiar Bellavista;1° dosis;102;Población General;Suroriente;14-303;-33.518563;-70.602218
La Florida;14-303;Centro de Salud Familiar Bellavista;Única;1119;Población General;Suroriente;14-303;-33.518563;-70.602218
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;1° dosis;148;Población General;Suroriente;14-304;-33.531236;-70.604217
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;2° dosis;2;Población General;Suroriente;14-304;-33.531236;-70.604217
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;EPRO;2;Población General;Suroriente;14-304;-33.531236;-70.604217
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;Única;5400;Población General;Suroriente;14-304;-33.531236;-70.604217
La Florida;14-305;Centro de Salud Familiar Los Quillayes;1° dosis;150;Población General;Suroriente;14-305;-33.560178;-70.60598
La Florida;14-305;Centro de Salud Familiar Los Quillayes;Única;6043;Población General;Suroriente;14-305;-33.560178;-70.60598
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;1° dosis;58;Población General;Suroriente;14-316;-33.560204;-70.578515
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única;834;Población General;Suroriente;14-316;-33.560204;-70.578515
La Florida;14-324;Centro de Salud Familiar Santa Amalia;1° dosis;163;Población General;Suroriente;14-324;-33.54375;-70.592829
La Florida;14-324;Centro de Salud Familiar Santa Amalia;EPRO;1;Población General;Suroriente;14-324;-33.54375;-70.592829
La Florida;14-324;Centro de Salud Familiar Santa Amalia;Única;2736;Población General;Suroriente;14-324;-33.54375;-70.592829
La Florida;14-330;Centro de Salud Familiar Trinidad;1° dosis;132;Población General;Suroriente;14-330;-33.547211;-70.60862
La Florida;14-330;Centro de Salud Familiar Trinidad;EPRO;1;Población General;Suroriente;14-330;-33.547211;-70.60862
La Florida;14-330;Centro de Salud Familiar Trinidad;Única;2101;Población General;Suroriente;14-330;-33.547211;-70.60862
La Florida;14-331;Centro de Salud Familiar La Florida;1° dosis;151;Población General;Suroriente;14-331;-33.514659;-70.585809
La Florida;14-331;Centro de Salud Familiar La Florida;2° dosis;1;Población General;Suroriente;14-331;-33.514659;-70.585809
La Florida;14-331;Centro de Salud Familiar La Florida;Única;15328;Población General;Suroriente;14-331;-33.514659;-70.585809
La Florida;14-334;Centro de Salud Familiar José Alvo;1° dosis;87;Población General;Suroriente;14-334;-33.557178;-70.582012
La Florida;14-334;Centro de Salud Familiar José Alvo;2° dosis;3;Población General;Suroriente;14-334;-33.557178;-70.582012
La Florida;14-334;Centro de Salud Familiar José Alvo;EPRO;1;Población General;Suroriente;14-334;-33.557178;-70.582012
La Florida;14-334;Centro de Salud Familiar José Alvo;Única;2467;Población General;Suroriente;14-334;-33.557178;-70.582012
La Florida;14-908;Clínica Bupa Santiago;1° dosis;105;Población General;Suroriente;14-908;-33.509903;-70.598229
La Florida;14-908;Clínica Bupa Santiago;Única;1365;Población General;Suroriente;14-908;-33.509903;-70.598229
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;1° dosis;220;Población General;Suroriente;13-307;-33.519604;-70.623975
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;2° dosis;2;Población General;Suroriente;13-307;-33.519604;-70.623975
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única;5260;Población General;Suroriente;13-307;-33.519604;-70.623975
La Granja;14-306;Centro de Salud Familiar La Granja;1° dosis;199;Población General;Suroriente;14-306;-33.536995;-70.633668
La Granja;14-306;Centro de Salud Familiar La Granja;2° dosis;1;Población General;Suroriente;14-306;-33.536995;-70.633668
La Granja;14-306;Centro de Salud Familiar La Granja;EPRO;1;Población General;Suroriente;14-306;-33.536995;-70.633668
La Granja;14-306;Centro de Salud Familiar La Granja;Única;4271;Población General;Suroriente;14-306;-33.536995;-70.633668
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;1° dosis;148;Población General;Suroriente;14-315;-33.527458;-70.621298
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;Única;3108;Población General;Suroriente;14-315;-33.527458;-70.621298
La Granja;14-325;Centro de Salud Familiar Granja Sur;1° dosis;300;Población General;Suroriente;14-325;-33.551822;-70.629548
La Granja;14-325;Centro de Salud Familiar Granja Sur;2° dosis;1;Población General;Suroriente;14-325;-33.551822;-70.629548
La Granja;14-325;Centro de Salud Familiar Granja Sur;EPRO;3;Población General;Suroriente;14-325;-33.551822;-70.629548
La Granja;14-325;Centro de Salud Familiar Granja Sur;Única;11008;Población General;Suroriente;14-325;-33.551822;-70.629548
La Pintana;14-308;Centro de Salud Familiar San Rafael;1° dosis;187;Población General;Suroriente;14-308;-33.579577;-70.639086
La Pintana;14-308;Centro de Salud Familiar San Rafael;Única;3696;Población General;Suroriente;14-308;-33.579577;-70.639086
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;1° dosis;64;Población General;Suroriente;14-309;-33.576624;-70.64964
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;2° dosis;2;Población General;Suroriente;14-309;-33.576624;-70.64964
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;Única;2434;Población General;Suroriente;14-309;-33.576624;-70.64964
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;1° dosis;142;Población General;Suroriente;14-311;-33.588977;-70.618578
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;2° dosis;2;Población General;Suroriente;14-311;-33.588977;-70.618578
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única;2764;Población General;Suroriente;14-311;-33.588977;-70.618578
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;1° dosis;99;Población General;Suroriente;14-317;-33.556972;-70.616542
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;2° dosis;1;Población General;Suroriente;14-317;-33.556972;-70.616542
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;EPRO;22;Población General;Suroriente;14-317;-33.556972;-70.616542
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;Única;2239;Población General;Suroriente;14-317;-33.556972;-70.616542
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;1° dosis;46;Población General;Suroriente;14-318;-33.585495;-70.636257
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;EPRO;1;Población General;Suroriente;14-318;-33.585495;-70.636257
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;Única;2182;Población General;Suroriente;14-318;-33.585495;-70.636257
