Comuna;FECHA_INMUNIZACION;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Vacuna
El Monte;2023-03-20;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-21;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-22;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-23;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-24;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-27;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-28;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-30;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-03-31;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-04-04;Única;2;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
El Monte;2023-04-06;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Estación Central;2023-03-15;Única;5;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-16;Única;9;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-20;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-21;Única;3;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-22;Única;5;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-23;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-24;Única;6;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-27;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-28;Única;3;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-29;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-30;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-03-31;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-04-03;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-04-05;Única;2;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Estación Central;2023-04-06;Única;1;Personas 65 años de edad;Central;Neumocócica polisacárida 23V
Huechuraba;2023-03-15;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-16;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-17;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-19;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-20;Única;7;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-21;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-22;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-23;Única;4;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-24;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-27;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-03-30;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-04-03;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-04-04;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-04-05;Única;4;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Huechuraba;2023-04-06;Única;3;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-15;Única;6;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-16;Única;7;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-17;Única;11;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-20;Única;11;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-21;Única;6;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-22;Única;15;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-23;Única;7;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-24;Única;15;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-27;Única;8;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-28;Única;9;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-29;Única;6;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-30;Única;10;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-03-31;Única;13;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-04-01;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-04-03;Única;9;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-04-04;Única;17;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-04-05;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Independencia;2023-04-06;Única;5;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-15;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-16;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-17;Única;5;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-20;Única;5;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-21;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-22;Única;3;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-23;Única;4;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-24;Única;1;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
Isla de Maipo;2023-03-29;Única;2;Personas 65 años de edad;Occidente;Neumocócica polisacárida 23V
La Cisterna;2023-03-15;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-16;Única;4;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-17;Única;21;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-18;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-20;Única;7;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-21;Única;3;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-22;Única;5;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-23;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-24;Única;6;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-25;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-27;Única;4;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-28;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-29;Única;4;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-30;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-03-31;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-04-01;Única;1;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-04-04;Única;2;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-04-05;Única;3;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Cisterna;2023-04-06;Única;4;Personas 65 años de edad;Sur;Neumocócica polisacárida 23V
La Florida;2023-03-15;Única;7;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-16;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-17;Única;11;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-20;Única;9;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-21;Única;10;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-22;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-23;Única;11;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-24;Única;7;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-27;Única;12;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-28;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-29;Única;13;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-30;Única;6;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-03-31;Única;5;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-04-03;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-04-04;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-04-05;Única;10;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Florida;2023-04-06;Única;13;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-15;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-16;Única;8;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-17;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-20;Única;10;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-21;Única;8;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-22;Única;6;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-23;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-24;Única;9;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-27;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-29;Única;6;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-03-30;Única;2;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-04-03;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-04-04;Única;6;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-04-05;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Granja;2023-04-06;Única;10;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-15;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-16;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-17;Única;8;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-20;Única;12;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-21;Única;7;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-22;Única;13;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-23;Única;5;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-24;Única;6;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-25;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-27;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-28;Única;7;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-29;Única;3;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-30;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-03-31;Única;2;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-04-04;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-04-05;Única;4;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Pintana;2023-04-06;Única;1;Personas 65 años de edad;Suroriente;Neumocócica polisacárida 23V
La Reina;2023-03-15;Única;4;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-16;Única;5;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-17;Única;2;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-18;Única;2;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-20;Única;5;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-21;Única;3;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-22;Única;1;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-24;Única;3;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-25;Única;1;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-27;Única;5;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-29;Única;1;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-30;Única;1;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-03-31;Única;5;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-04-03;Única;6;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-04-05;Única;6;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
La Reina;2023-04-06;Única;7;Personas 65 años de edad;Oriente;Neumocócica polisacárida 23V
Lampa;2023-03-15;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-16;Única;1;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-17;Única;4;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-18;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-20;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-21;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
Lampa;2023-03-22;Única;2;Personas 65 años de edad;Norte;Neumocócica polisacárida 23V
