Servicio;Comuna;Criterio_elegibilidad;N° de vacunados;Población objetivo;Avance vacunación;Desagregación;CODIGO_DEIS;Establecimiento;Dosis
Occidente;El Monte;Niños y niñas de 6 meses a 5 años de edad;159;3365.0;4.7;Comunas;;;
Central;Estación Central;Niños y niñas de 6 meses a 5 años de edad;784;13311.0;5.9;Comunas;;;
Norte;Huechuraba;Niños y niñas de 6 meses a 5 años de edad;1564;9101.0;17.2;Comunas;;;
Norte;Independencia;Niños y niñas de 6 meses a 5 años de edad;749;9773.0;7.7;Comunas;;;
Occidente;Isla de Maipo;Niños y niñas de 6 meses a 5 años de edad;235;3138.0;7.5;Comunas;;;
Sur;La Cisterna;Niños y niñas de 6 meses a 5 años de edad;614;6145.0;10.0;Comunas;;;
Suroriente;La Florida;Niños y niñas de 6 meses a 5 años de edad;2320;25045.0;9.3;Comunas;;;
Suroriente;La Granja;Niños y niñas de 6 meses a 5 años de edad;3339;8026.0;41.6;Comunas;;;
Suroriente;La Pintana;Niños y niñas de 6 meses a 5 años de edad;901;15233.0;5.9;Comunas;;;
Oriente;La Reina;Niños y niñas de 6 meses a 5 años de edad;891;5786.0;15.4;Comunas;;;
Norte;Lampa;Niños y niñas de 6 meses a 5 años de edad;1021;13038.0;7.8;Comunas;;;
Oriente;Las Condes;Niños y niñas de 6 meses a 5 años de edad;2346;18660.0;12.6;Comunas;;;
Oriente;Lo Barnechea;Niños y niñas de 6 meses a 5 años de edad;1512;9484.0;15.9;Comunas;;;
Sur;Lo Espejo;Niños y niñas de 6 meses a 5 años de edad;460;6918.0;6.6;Comunas;;;
Occidente;Lo Prado;Niños y niñas de 6 meses a 5 años de edad;1012;6274.0;16.1;Comunas;;;
Oriente;Macul;Niños y niñas de 6 meses a 5 años de edad;1061;7965.0;13.3;Comunas;;;
Central;Maipú;Niños y niñas de 6 meses a 5 años de edad;2511;37526.0;6.7;Comunas;;;
Occidente;María Pinto;Niños y niñas de 6 meses a 5 años de edad;128;1074.0;11.9;Comunas;;;
Occidente;Melipilla;Niños y niñas de 6 meses a 5 años de edad;1801;10543.0;17.1;Comunas;;;
Occidente;Padre Hurtado;Niños y niñas de 6 meses a 5 años de edad;298;6428.0;4.6;Comunas;;;
Sur;Paine;Niños y niñas de 6 meses a 5 años de edad;416;6370.0;6.5;Comunas;;;
Sur;Pedro Aguirre Cerda;Niños y niñas de 6 meses a 5 años de edad;707;6459.0;10.9;Comunas;;;
Occidente;Peñaflor;Niños y niñas de 6 meses a 5 años de edad;307;7887.0;3.9;Comunas;;;
Oriente;Peñalolén;Niños y niñas de 6 meses a 5 años de edad;1240;17931.0;6.9;Comunas;;;
Suroriente;Pirque;Niños y niñas de 6 meses a 5 años de edad;107;2316.0;4.6;Comunas;;;
Oriente;Providencia;Niños y niñas de 6 meses a 5 años de edad;776;8315.0;9.3;Comunas;;;
Occidente;Pudahuel;Niños y niñas de 6 meses a 5 años de edad;1531;18904.0;8.1;Comunas;;;
Suroriente;Puente Alto;Niños y niñas de 6 meses a 5 años de edad;3286;49003.0;6.7;Comunas;;;
Norte;Quilicura;Niños y niñas de 6 meses a 5 años de edad;3003;20204.0;14.9;Comunas;;;
Occidente;Quinta Normal;Niños y niñas de 6 meses a 5 años de edad;2439;8536.0;28.6;Comunas;;;
Norte;Recoleta;Niños y niñas de 6 meses a 5 años de edad;1224;12275.0;10.0;Comunas;;;
Occidente;Renca;Niños y niñas de 6 meses a 5 años de edad;700;12275.0;5.7;Comunas;;;
Sur;San Bernardo;Niños y niñas de 6 meses a 5 años de edad;1907;26806.0;7.1;Comunas;;;
Sur;San Joaquín;Niños y niñas de 6 meses a 5 años de edad;1148;6167.0;18.6;Comunas;;;
Suroriente;San José de Maipo;Niños y niñas de 6 meses a 5 años de edad;160;1257.0;12.7;Comunas;;;
Sur;San Miguel;Niños y niñas de 6 meses a 5 años de edad;805;8809.0;9.1;Comunas;;;
Occidente;San Pedro;Niños y niñas de 6 meses a 5 años de edad;47;904.0;5.2;Comunas;;;
Suroriente;San Ramón;Niños y niñas de 6 meses a 5 años de edad;635;5561.0;11.4;Comunas;;;
Central;Santiago;Niños y niñas de 6 meses a 5 años de edad;2067;26174.0;7.9;Comunas;;;
Occidente;Talagante;Niños y niñas de 6 meses a 5 años de edad;584;6323.0;9.2;Comunas;;;
Norte;Tiltil;Niños y niñas de 6 meses a 5 años de edad;283;1647.0;17.2;Comunas;;;
Oriente;Vitacura;Niños y niñas de 6 meses a 5 años de edad;743;6172.0;12.0;Comunas;;;
Oriente;Ñuñoa;Niños y niñas de 6 meses a 5 años de edad;1109;14808.0;7.5;Comunas;;;
Occidente;Alhué;Estrategia Capullo;5;29.0;17.2;Comunas;;;
Sur;Buin;Estrategia Capullo;51;359.0;14.2;Comunas;;;
Sur;Calera de Tango;Estrategia Capullo;1;64.0;1.6;Comunas;;;
Central;Cerrillos;Estrategia Capullo;3;185.0;1.6;Comunas;;;
Occidente;Cerro Navia;Estrategia Capullo;23;351.0;6.6;Comunas;;;
Norte;Colina;Estrategia Capullo;2;522.0;0.4;Comunas;;;
Norte;Conchalí;Estrategia Capullo;7;282.0;2.5;Comunas;;;
Occidente;Curacaví;Estrategia Capullo;5;88.0;5.7;Comunas;;;
Sur;El Bosque;Estrategia Capullo;16;359.0;4.5;Comunas;;;
Occidente;El Monte;Estrategia Capullo;1;100.0;1.0;Comunas;;;
Central;Estación Central;Estrategia Capullo;8;545.0;1.5;Comunas;;;
Norte;Huechuraba;Estrategia Capullo;38;224.0;17.0;Comunas;;;
Norte;Independencia;Estrategia Capullo;10;348.0;2.9;Comunas;;;
Occidente;Isla de Maipo;Estrategia Capullo;9;90.0;10.0;Comunas;;;
Sur;La Cisterna;Estrategia Capullo;27;235.0;11.5;Comunas;;;
Suroriente;La Florida;Estrategia Capullo;12;828.0;1.4;Comunas;;;
Suroriente;La Granja;Estrategia Capullo;3;251.0;1.2;Comunas;;;
Suroriente;La Pintana;Estrategia Capullo;9;478.0;1.9;Comunas;;;
Oriente;La Reina;Estrategia Capullo;11;157.0;7.0;Comunas;;;
Norte;Lampa;Estrategia Capullo;9;450.0;2.0;Comunas;;;
Oriente;Las Condes;Estrategia Capullo;21;736.0;2.9;Comunas;;;
Oriente;Lo Barnechea;Estrategia Capullo;8;272.0;2.9;Comunas;;;
Sur;Lo Espejo;Estrategia Capullo;9;231.0;3.9;Comunas;;;
Oriente;Macul;Estrategia Capullo;6;275.0;2.2;Comunas;;;
Central;Maipú;Estrategia Capullo;21;1020.0;2.1;Comunas;;;
Occidente;Melipilla;Estrategia Capullo;26;409.0;6.4;Comunas;;;
Sur;Paine;Estrategia Capullo;17;205.0;8.3;Comunas;;;
Sur;Pedro Aguirre Cerda;Estrategia Capullo;11;216.0;5.1;Comunas;;;
Occidente;Peñaflor;Estrategia Capullo;7;218.0;3.2;Comunas;;;
Oriente;Peñalolén;Estrategia Capullo;5;484.0;1.0;Comunas;;;
Oriente;Providencia;Estrategia Capullo;13;362.0;3.6;Comunas;;;
Occidente;Pudahuel;Estrategia Capullo;6;507.0;1.2;Comunas;;;
Suroriente;Puente Alto;Estrategia Capullo;19;1266.0;1.5;Comunas;;;
Norte;Quilicura;Estrategia Capullo;64;534.0;12.0;Comunas;;;
Norte;Recoleta;Estrategia Capullo;25;400.0;6.2;Comunas;;;
Occidente;Renca;Estrategia Capullo;13;380.0;3.4;Comunas;;;
Sur;San Bernardo;Estrategia Capullo;22;811.0;2.7;Comunas;;;
Sur;San Joaquín;Estrategia Capullo;20;205.0;9.8;Comunas;;;
Sur;San Miguel;Estrategia Capullo;14;428.0;3.3;Comunas;;;
Suroriente;San Ramón;Estrategia Capullo;5;193.0;2.6;Comunas;;;
Central;Santiago;Estrategia Capullo;31;1090.0;2.8;Comunas;;;
Occidente;Talagante;Estrategia Capullo;1;191.0;0.5;Comunas;;;
Norte;Tiltil;Estrategia Capullo;11;63.0;17.5;Comunas;;;
Oriente;Vitacura;Estrategia Capullo;3;320.0;0.9;Comunas;;;
Oriente;Ñuñoa;Estrategia Capullo;12;564.0;2.1;Comunas;;;
Occidente;Alhué;Enfermos cronicos de 11 a 64 años de edad;331;1635.0;20.2;Comunas;;;
Sur;Buin;Enfermos cronicos de 11 a 64 años de edad;2251;14848.0;15.2;Comunas;;;
Sur;Calera de Tango;Enfermos cronicos de 11 a 64 años de edad;439;2868.0;15.3;Comunas;;;
Central;Cerrillos;Enfermos cronicos de 11 a 64 años de edad;1611;10866.0;14.8;Comunas;;;
Occidente;Cerro Navia;Enfermos cronicos de 11 a 64 años de edad;2764;25624.0;10.8;Comunas;;;
Norte;Colina;Enfermos cronicos de 11 a 64 años de edad;2247;9728.0;23.1;Comunas;;;
Norte;Conchalí;Enfermos cronicos de 11 a 64 años de edad;2277;11359.0;20.0;Comunas;;;
Occidente;Curacaví;Enfermos cronicos de 11 a 64 años de edad;529;3190.0;16.6;Comunas;;;
Sur;El Bosque;Enfermos cronicos de 11 a 64 años de edad;4824;23609.0;20.4;Comunas;;;
Occidente;El Monte;Enfermos cronicos de 11 a 64 años de edad;479;3913.0;12.2;Comunas;;;
Central;Estación Central;Enfermos cronicos de 11 a 64 años de edad;2267;14144.0;16.0;Comunas;;;
Norte;Huechuraba;Enfermos cronicos de 11 a 64 años de edad;3866;13130.0;29.4;Comunas;;;
Norte;Independencia;Enfermos cronicos de 11 a 64 años de edad;1644;7570.0;21.7;Comunas;;;
Occidente;Isla de Maipo;Enfermos cronicos de 11 a 64 años de edad;1028;4333.0;23.7;Comunas;;;
Sur;La Cisterna;Enfermos cronicos de 11 a 64 años de edad;1611;21423.0;7.5;Comunas;;;
Suroriente;La Florida;Enfermos cronicos de 11 a 64 años de edad;4294;26334.0;16.3;Comunas;;;
Suroriente;La Granja;Enfermos cronicos de 11 a 64 años de edad;3458;12293.0;28.1;Comunas;;;
Suroriente;La Pintana;Enfermos cronicos de 11 a 64 años de edad;2486;11488.0;21.6;Comunas;;;
Oriente;La Reina;Enfermos cronicos de 11 a 64 años de edad;1115;5964.0;18.7;Comunas;;;
Norte;Lampa;Enfermos cronicos de 11 a 64 años de edad;1705;10188.0;16.7;Comunas;;;
Oriente;Las Condes;Enfermos cronicos de 11 a 64 años de edad;2924;13308.0;22.0;Comunas;;;
Oriente;Lo Barnechea;Enfermos cronicos de 11 a 64 años de edad;873;4315.0;20.2;Comunas;;;
Sur;Lo Espejo;Enfermos cronicos de 11 a 64 años de edad;1602;9839.0;16.3;Comunas;;;
Occidente;Lo Prado;Enfermos cronicos de 11 a 64 años de edad;3301;15844.0;20.8;Comunas;;;
Oriente;Macul;Enfermos cronicos de 11 a 64 años de edad;1519;10393.0;14.6;Comunas;;;
Central;Maipú;Enfermos cronicos de 11 a 64 años de edad;9699;59580.0;16.3;Comunas;;;
Occidente;María Pinto;Enfermos cronicos de 11 a 64 años de edad;356;1377.0;25.9;Comunas;;;
Occidente;Melipilla;Enfermos cronicos de 11 a 64 años de edad;3237;14542.0;22.3;Comunas;;;
Occidente;Padre Hurtado;Enfermos cronicos de 11 a 64 años de edad;840;7107.0;11.8;Comunas;;;
Sur;Paine;Enfermos cronicos de 11 a 64 años de edad;1778;12549.0;14.2;Comunas;;;
Sur;Pedro Aguirre Cerda;Enfermos cronicos de 11 a 64 años de edad;2160;9059.0;23.8;Comunas;;;
Occidente;Peñaflor;Enfermos cronicos de 11 a 64 años de edad;1762;5564.0;31.7;Comunas;;;
Oriente;Peñalolén;Enfermos cronicos de 11 a 64 años de edad;3965;23453.0;16.9;Comunas;;;
Suroriente;Pirque;Enfermos cronicos de 11 a 64 años de edad;547;2689.0;20.3;Comunas;;;
Oriente;Providencia;Enfermos cronicos de 11 a 64 años de edad;1385;8204.0;16.9;Comunas;;;
Occidente;Pudahuel;Enfermos cronicos de 11 a 64 años de edad;7793;52464.0;14.9;Comunas;;;
Suroriente;Puente Alto;Enfermos cronicos de 11 a 64 años de edad;9019;42689.0;21.1;Comunas;;;
Norte;Quilicura;Enfermos cronicos de 11 a 64 años de edad;3814;20694.0;18.4;Comunas;;;
Occidente;Quinta Normal;Enfermos cronicos de 11 a 64 años de edad;2094;11992.0;17.5;Comunas;;;
Norte;Recoleta;Enfermos cronicos de 11 a 64 años de edad;3280;14969.0;21.9;Comunas;;;
Occidente;Renca;Enfermos cronicos de 11 a 64 años de edad;2219;17990.0;12.3;Comunas;;;
Sur;San Bernardo;Enfermos cronicos de 11 a 64 años de edad;3594;33169.0;10.8;Comunas;;;
Sur;San Joaquín;Enfermos cronicos de 11 a 64 años de edad;2117;11675.0;18.1;Comunas;;;
Suroriente;San José de Maipo;Enfermos cronicos de 11 a 64 años de edad;355;1832.0;19.4;Comunas;;;
Sur;San Miguel;Enfermos cronicos de 11 a 64 años de edad;2431;15660.0;15.5;Comunas;;;
Occidente;San Pedro;Enfermos cronicos de 11 a 64 años de edad;212;1378.0;15.4;Comunas;;;
Suroriente;San Ramón;Enfermos cronicos de 11 a 64 años de edad;1755;11538.0;15.2;Comunas;;;
Central;Santiago;Enfermos cronicos de 11 a 64 años de edad;5273;40049.0;13.2;Comunas;;;
Occidente;Talagante;Enfermos cronicos de 11 a 64 años de edad;1407;7248.0;19.4;Comunas;;;
Norte;Tiltil;Enfermos cronicos de 11 a 64 años de edad;535;1681.0;31.8;Comunas;;;
Oriente;Vitacura;Enfermos cronicos de 11 a 64 años de edad;547;2373.0;23.1;Comunas;;;
Oriente;Ñuñoa;Enfermos cronicos de 11 a 64 años de edad;2240;12444.0;18.0;Comunas;;;
Occidente;Alhué;Escolares de 1° a 5° año básico;33;485.0;6.8;Comunas;;;
Sur;Buin;Escolares de 1° a 5° año básico;379;8234.0;4.6;Comunas;;;
Sur;Calera de Tango;Escolares de 1° a 5° año básico;444;2025.0;21.9;Comunas;;;
Central;Cerrillos;Escolares de 1° a 5° año básico;494;5715.0;8.6;Comunas;;;
Occidente;Cerro Navia;Escolares de 1° a 5° año básico;305;8599.0;3.5;Comunas;;;
Norte;Colina;Escolares de 1° a 5° año básico;429;16620.0;2.6;Comunas;;;
Norte;Conchalí;Escolares de 1° a 5° año básico;169;8031.0;2.1;Comunas;;;
Occidente;Curacaví;Escolares de 1° a 5° año básico;29;2474.0;1.2;Comunas;;;
Sur;El Bosque;Escolares de 1° a 5° año básico;2830;11186.0;25.3;Comunas;;;
Occidente;El Monte;Escolares de 1° a 5° año básico;74;2938.0;2.5;Comunas;;;
Central;Estación Central;Escolares de 1° a 5° año básico;183;11336.0;1.6;Comunas;;;
Norte;Huechuraba;Escolares de 1° a 5° año básico;1204;8900.0;13.5;Comunas;;;
Norte;Independencia;Escolares de 1° a 5° año básico;186;7588.0;2.5;Comunas;;;
Occidente;Isla de Maipo;Escolares de 1° a 5° año básico;520;2947.0;17.6;Comunas;;;
Sur;La Cisterna;Escolares de 1° a 5° año básico;136;5741.0;2.4;Comunas;;;
Suroriente;La Florida;Escolares de 1° a 5° año básico;727;23381.0;3.1;Comunas;;;
Suroriente;La Granja;Escolares de 1° a 5° año básico;4300;7194.0;59.8;Comunas;;;
Suroriente;La Pintana;Escolares de 1° a 5° año básico;483;14127.0;3.4;Comunas;;;
Oriente;La Reina;Escolares de 1° a 5° año básico;605;5725.0;10.6;Comunas;;;
Norte;Lampa;Escolares de 1° a 5° año básico;315;11727.0;2.7;Comunas;;;
Oriente;Las Condes;Escolares de 1° a 5° año básico;1253;15862.0;7.9;Comunas;;;
Oriente;Lo Barnechea;Escolares de 1° a 5° año básico;1530;10497.0;14.6;Comunas;;;
Sur;Lo Espejo;Escolares de 1° a 5° año básico;87;6388.0;1.4;Comunas;;;
Occidente;Lo Prado;Escolares de 1° a 5° año básico;1504;5897.0;25.5;Comunas;;;
Oriente;Macul;Escolares de 1° a 5° año básico;1552;7041.0;22.0;Comunas;;;
Central;Maipú;Escolares de 1° a 5° año básico;2277;36172.0;6.3;Comunas;;;
Occidente;María Pinto;Escolares de 1° a 5° año básico;142;1037.0;13.7;Comunas;;;
Occidente;Melipilla;Escolares de 1° a 5° año básico;1288;9760.0;13.2;Comunas;;;
Occidente;Padre Hurtado;Escolares de 1° a 5° año básico;261;5511.0;4.7;Comunas;;;
Sur;Paine;Escolares de 1° a 5° año básico;86;6203.0;1.4;Comunas;;;
Sur;Pedro Aguirre Cerda;Escolares de 1° a 5° año básico;379;5952.0;6.4;Comunas;;;
Occidente;Peñaflor;Escolares de 1° a 5° año básico;105;7385.0;1.4;Comunas;;;
Oriente;Peñalolén;Escolares de 1° a 5° año básico;744;18047.0;4.1;Comunas;;;
Suroriente;Pirque;Escolares de 1° a 5° año básico;60;2167.0;2.8;Comunas;;;
Oriente;Providencia;Escolares de 1° a 5° año básico;442;5606.0;7.9;Comunas;;;
Occidente;Pudahuel;Escolares de 1° a 5° año básico;765;17411.0;4.4;Comunas;;;
Suroriente;Puente Alto;Escolares de 1° a 5° año básico;1729;46089.0;3.8;Comunas;;;
Norte;Quilicura;Escolares de 1° a 5° año básico;4316;20145.0;21.4;Comunas;;;
Occidente;Quinta Normal;Escolares de 1° a 5° año básico;4334;7783.0;55.7;Comunas;;;
Norte;Recoleta;Escolares de 1° a 5° año básico;1268;11099.0;11.4;Comunas;;;
Occidente;Renca;Escolares de 1° a 5° año básico;392;11377.0;3.4;Comunas;;;
Sur;San Bernardo;Escolares de 1° a 5° año básico;2094;25222.0;8.3;Comunas;;;
Sur;San Joaquín;Escolares de 1° a 5° año básico;1070;5539.0;19.3;Comunas;;;
Suroriente;San José de Maipo;Escolares de 1° a 5° año básico;239;1210.0;19.8;Comunas;;;
Sur;San Miguel;Escolares de 1° a 5° año básico;635;6998.0;9.1;Comunas;;;
Occidente;San Pedro;Escolares de 1° a 5° año básico;9;776.0;1.2;Comunas;;;
Suroriente;San Ramón;Escolares de 1° a 5° año básico;748;4962.0;15.1;Comunas;;;
Central;Santiago;Escolares de 1° a 5° año básico;521;18465.0;2.8;Comunas;;;
Occidente;Talagante;Escolares de 1° a 5° año básico;744;5823.0;12.8;Comunas;;;
Norte;Tiltil;Escolares de 1° a 5° año básico;484;1490.0;32.5;Comunas;;;
Oriente;Vitacura;Escolares de 1° a 5° año básico;1784;5455.0;32.7;Comunas;;;
Oriente;Ñuñoa;Escolares de 1° a 5° año básico;324;11284.0;2.9;Comunas;;;
Occidente;Alhué;Embarazadas;12;123.0;9.8;Comunas;;;
Sur;Buin;Embarazadas;201;1574.0;12.8;Comunas;;;
