Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
La Florida;14-331;Centro de Salud Familiar La Florida;Única;12099;Población General;Suroriente
La Florida;14-334;Centro de Salud Familiar José Alvo;1° dosis;61;Población General;Suroriente
La Florida;14-334;Centro de Salud Familiar José Alvo;EPRO;2;Población General;Suroriente
La Florida;14-334;Centro de Salud Familiar José Alvo;Única;1826;Población General;Suroriente
La Florida;14-908;Clínica Bupa Santiago;1° dosis;73;Población General;Suroriente
La Florida;14-908;Clínica Bupa Santiago;2° dosis;1;Población General;Suroriente
La Florida;14-908;Clínica Bupa Santiago;Única;1286;Población General;Suroriente
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;1° dosis;210;Población General;Suroriente
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única;4771;Población General;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;1° dosis;155;Población General;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;2° dosis;1;Población General;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;EPRO;3;Población General;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;Única;3559;Población General;Suroriente
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;1° dosis;131;Población General;Suroriente
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;EPRO;1;Población General;Suroriente
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;Única;2598;Población General;Suroriente
La Granja;14-325;Centro de Salud Familiar Granja Sur;1° dosis;278;Población General;Suroriente
La Granja;14-325;Centro de Salud Familiar Granja Sur;EPRO;9;Población General;Suroriente
La Granja;14-325;Centro de Salud Familiar Granja Sur;Única;10029;Población General;Suroriente
La Pintana;14-308;Centro de Salud Familiar San Rafael;1° dosis;105;Población General;Suroriente
La Pintana;14-308;Centro de Salud Familiar San Rafael;Única;2565;Población General;Suroriente
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;1° dosis;33;Población General;Suroriente
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;Única;1603;Población General;Suroriente
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;1° dosis;73;Población General;Suroriente
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única;1904;Población General;Suroriente
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;1° dosis;75;Población General;Suroriente
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;EPRO;22;Población General;Suroriente
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;Única;1855;Población General;Suroriente
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;1° dosis;25;Población General;Suroriente
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;Única;1574;Población General;Suroriente
La Pintana;14-319;Centro de Salud Familiar El Roble;1° dosis;36;Población General;Suroriente
La Pintana;14-319;Centro de Salud Familiar El Roble;EPRO;1;Población General;Suroriente
La Pintana;14-319;Centro de Salud Familiar El Roble;Única;2051;Población General;Suroriente
La Pintana;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;1° dosis;38;Población General;Suroriente
La Pintana;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;Única;996;Población General;Suroriente
La Reina;12-317;Centro de Salud Familiar Ossandon;1° dosis;77;Población General;Oriente
La Reina;12-317;Centro de Salud Familiar Ossandon;Única;8763;Población General;Oriente
La Reina;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);1° dosis;135;Población General;Oriente
La Reina;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);Única;995;Población General;Oriente
La Reina;12-530;Hospital Militar de Santiago;1° dosis;41;Población General;Oriente
La Reina;12-530;Hospital Militar de Santiago;Única;4811;Población General;Oriente
La Reina;12-924;Vacunatorio Darvax;1° dosis;92;Población General;Oriente
La Reina;12-924;Vacunatorio Darvax;Única;1161;Población General;Oriente
Lampa;09-311;Centro de Salud Familiar José Bauza Frau;1° dosis;238;Población General;Norte
Lampa;09-311;Centro de Salud Familiar José Bauza Frau;Única;3825;Población General;Norte
Lampa;09-312;Centro de Salud Familiar Batuco;1° dosis;133;Población General;Norte
Lampa;09-312;Centro de Salud Familiar Batuco;2° dosis;2;Población General;Norte
Lampa;09-312;Centro de Salud Familiar Batuco;Única;2146;Población General;Norte
Lampa;09-407;Posta de Salud Rural Juan Pablo II de Lampa;1° dosis;29;Población General;Norte
Lampa;09-407;Posta de Salud Rural Juan Pablo II de Lampa;2° dosis;1;Población General;Norte
Lampa;09-407;Posta de Salud Rural Juan Pablo II de Lampa;EPRO;1;Población General;Norte
Lampa;09-407;Posta de Salud Rural Juan Pablo II de Lampa;Única;1654;Población General;Norte
Las Condes;12-204;Nueva Clínica Cordillera;1° dosis;21;Población General;Oriente
Las Condes;12-204;Nueva Clínica Cordillera;Única;494;Población General;Oriente
Las Condes;12-212;Clínica Las Condes;1° dosis;218;Población General;Oriente
Las Condes;12-212;Clínica Las Condes;Única;3590;Población General;Oriente
Las Condes;12-238;Hospital FACH;1° dosis;23;Población General;Oriente
Las Condes;12-238;Hospital FACH;Única;4316;Población General;Oriente
Las Condes;12-248;Hospital Dipreca Teniente Hernán Merino;Única;948;Población General;Oriente
Las Condes;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;1° dosis;55;Población General;Oriente
Las Condes;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;Única;1454;Población General;Oriente
Las Condes;12-272;Centro Médico Militar Rosa O'Higgins;1° dosis;8;Población General;Oriente
Las Condes;12-272;Centro Médico Militar Rosa O'Higgins;Única;936;Población General;Oriente
Las Condes;12-304;Centro de Salud Familiar Apoquindo;1° dosis;172;Población General;Oriente
Las Condes;12-304;Centro de Salud Familiar Apoquindo;Única;20325;Población General;Oriente
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;1° dosis;45;Población General;Oriente
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;EPRO;1;Población General;Oriente
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;Única;3182;Población General;Oriente
Las Condes;12-950;Hospital Clínico Universidad de Los Andes;1° dosis;129;Población General;Oriente
Las Condes;12-950;Hospital Clínico Universidad de Los Andes;Única;3516;Población General;Oriente
Las Condes;201094;Vacunatorio Medicien Alto El Plomo;1° dosis;18;Población General;Oriente
Las Condes;201094;Vacunatorio Medicien Alto El Plomo;Única;148;Población General;Oriente
Las Condes;201157;Centro Médico y Dental Arauco Salud;1° dosis;26;Población General;Oriente
Las Condes;201157;Centro Médico y Dental Arauco Salud;Única;419;Población General;Oriente
Las Condes;201295;CENTRO DE VACUNACION INMUNOVAC;Única;3;Población General;Oriente
Lo Barnechea;12-307;Centro de Salud Familiar Lo Barnechea;1° dosis;445;Población General;Oriente
Lo Barnechea;12-307;Centro de Salud Familiar Lo Barnechea;EPRO;1;Población General;Oriente
Lo Barnechea;12-307;Centro de Salud Familiar Lo Barnechea;Única;8922;Población General;Oriente
Lo Barnechea;12-522;Centro Médico Clínica Santa María La Dehesa;1° dosis;28;Población General;Oriente
Lo Barnechea;12-522;Centro Médico Clínica Santa María La Dehesa;Única;634;Población General;Oriente
Lo Barnechea;12-527;Centro Médico Clínica Alemana (La Dehesa);1° dosis;136;Población General;Oriente
Lo Barnechea;12-527;Centro Médico Clínica Alemana (La Dehesa);Única;1356;Población General;Oriente
Lo Barnechea;12-906;Clínica MEDS La Dehesa;1° dosis;15;Población General;Oriente
Lo Barnechea;12-906;Clínica MEDS La Dehesa;Única;464;Población General;Oriente
Lo Espejo;13-308;Centro de Salud Familiar Clara Estrella;1° dosis;40;Población General;Sur
Lo Espejo;13-308;Centro de Salud Familiar Clara Estrella;Única;2039;Población General;Sur
Lo Espejo;13-309;Centro de Salud Familiar Julio Acuña Pinzón;1° dosis;40;Población General;Sur
Lo Espejo;13-309;Centro de Salud Familiar Julio Acuña Pinzón;2° dosis;1;Población General;Sur
Lo Espejo;13-309;Centro de Salud Familiar Julio Acuña Pinzón;Única;1754;Población General;Sur
Lo Espejo;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;1° dosis;39;Población General;Sur
Lo Espejo;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Única;2052;Población General;Sur
Lo Espejo;13-396;Centro de Salud Familiar Pueblo Lo Espejo;1° dosis;52;Población General;Sur
Lo Espejo;13-396;Centro de Salud Familiar Pueblo Lo Espejo;Única;1891;Población General;Sur
Lo Prado;10-315;Centro de Salud Familiar Santa Anita;1° dosis;86;Población General;Occidente
Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Única;2993;Población General;Occidente
Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;1° dosis;85;Población General;Occidente
Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;EPRO;1;Población General;Occidente
Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Única;4620;Población General;Occidente
Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;1° dosis;263;Población General;Occidente
Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;EPRO;1;Población General;Occidente
Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Única;4902;Población General;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;1° dosis;53;Población General;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;2° dosis;1;Población General;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;EPRO;1;Población General;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Única;3320;Población General;Occidente
Macul;12-312;Centro de Salud Familiar Félix de Amesti;1° dosis;292;Población General;Oriente
Macul;12-312;Centro de Salud Familiar Félix de Amesti;EPRO;7;Población General;Oriente
Macul;12-312;Centro de Salud Familiar Félix de Amesti;Única;5088;Población General;Oriente
Macul;12-313;Centro de Salud Familiar Santa Julia;1° dosis;307;Población General;Oriente
Macul;12-313;Centro de Salud Familiar Santa Julia;2° dosis;2;Población General;Oriente
Macul;12-313;Centro de Salud Familiar Santa Julia;EPRO;1;Población General;Oriente
Macul;12-313;Centro de Salud Familiar Santa Julia;Única;4690;Población General;Oriente
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;1° dosis;98;Población General;Oriente
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;EPRO;2;Población General;Oriente
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;Única;2393;Población General;Oriente
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;1° dosis;110;Población General;Oriente
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;EPRO;1;Población General;Oriente
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;Única;1804;Población General;Oriente
Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Única;1848;Población General;Central
Maipú;11-304;Centro de Salud Familiar Maipú;1° dosis;179;Población General;Central
Maipú;11-304;Centro de Salud Familiar Maipú;2° dosis;1;Población General;Central
Maipú;11-304;Centro de Salud Familiar Maipú;EPRO;2;Población General;Central
Maipú;11-304;Centro de Salud Familiar Maipú;Única;7186;Población General;Central
Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;1° dosis;108;Población General;Central
Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Única;4675;Población General;Central
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;1° dosis;107;Población General;Central
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;EPRO;1;Población General;Central
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Única;2395;Población General;Central
Maipú;11-351;Centro de Referencia de Salud de Maipú;Única;249;Población General;Central
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;1° dosis;61;Población General;Central
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;EPRO;3;Población General;Central
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Única;4615;Población General;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;1° dosis;147;Población General;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;2° dosis;1;Población General;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;EPRO;3;Población General;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;Única;6763;Población General;Central
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;1° dosis;104;Población General;Central
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;EPRO;1;Población General;Central
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Única;5165;Población General;Central
