Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Vacuna;Servicio;Código Antiguo ;latitud;longitud
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-927;-33.283002;-70.651101
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;Única;46;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-302;-33.388856;-70.671249
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;Única;80;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-308;-33.394414;-70.658337
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;Única;12;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-309;-33.378315;-70.692373
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;Única;26;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-314;-33.370386;-70.683005
Curacaví;10-160;Hospital de Curacaví;Única;47;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-160;-33.4095;-71.145664
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única;277;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-312;-33.554149;-70.666968
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;Única;170;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-314;-33.561362;-70.674691
El Bosque;13-317;Centro de Salud Familiar Santa Laura;Única;122;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-317;-33.552491;-70.688809
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única;128;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-323;-33.582081;-70.668768
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única;114;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-324;-33.572212;-70.667054
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única;126;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-329;-33.578041;-70.67785
El Monte;10-370;Centro de Salud Familiar El Monte;Única;66;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-370;-33.681919;-70.986091
Estación Central;11-230;Clínica Hospital del Profesor;Única;7;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-230;-33.457755;-70.702639
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;Única;13;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-295;-33.457336;-70.701792
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-302;-33.47284;-70.691894
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Única;31;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-306;-33.473682;-70.705982
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Única;11;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-310;-33.451977;-70.703928
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;Única;26;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-317;Centro de Salud Familiar El Barrero;Única;21;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-323;-33.363415;-70.632789
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;Única;16;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-718;-33.360049;-70.683527
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;Única;34;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-915;-33.352605;-70.67705
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);Única;4;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-100;-33.416586;-70.653318
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);Única;7;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-101;-33.415335;-70.655086
Independencia;09-200;Hospital Clínico Universidad de Chile;Única;9;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-200;-33.420057;-70.653116
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;Única;299;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-300;-33.415155;-70.657119
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;Única;19;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-321;-33.417373;-70.668652
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;EPRO;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-375;-33.749042;-70.903306
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Única;19;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-375;-33.749042;-70.903306
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Única;14;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-425;-33.734795;-70.861701
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;Única;99;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-311;-33.529594;-70.667368
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única;122;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-326;-33.538937;-70.66238
La Florida;14-223;Clínica Vespucio;Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-223;-33.519116;-70.596867
La Florida;14-302;Centro de Salud Familiar Los Castaños;Única;4;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-302;-33.511875;-70.577975
La Florida;14-303;Centro de Salud Familiar Bellavista;Única;16;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-303;-33.518563;-70.602218
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;Única;32;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-304;-33.531236;-70.604217
La Florida;14-305;Centro de Salud Familiar Los Quillayes;Única;42;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-305;-33.560178;-70.60598
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única;26;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-316;-33.560204;-70.578515
La Florida;14-324;Centro de Salud Familiar Santa Amalia;Única;16;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-324;-33.54375;-70.592829
La Florida;14-330;Centro de Salud Familiar Trinidad;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-330;-33.547211;-70.60862
La Florida;14-331;Centro de Salud Familiar La Florida;Única;26;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-331;-33.514659;-70.585809
La Florida;14-334;Centro de Salud Familiar José Alvo;Única;41;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-334;-33.557178;-70.582012
La Florida;14-908;Clínica Bupa Santiago;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-908;-33.509903;-70.598229
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única;49;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;13-307;-33.519604;-70.623975
La Granja;14-306;Centro de Salud Familiar La Granja;Única;7;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-306;-33.536995;-70.633668
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;Única;16;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-315;-33.527458;-70.621298
La Granja;14-325;Centro de Salud Familiar Granja Sur;Única;54;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-325;-33.551822;-70.629548
La Pintana;14-308;Centro de Salud Familiar San Rafael;Única;43;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-308;-33.579577;-70.639086
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única;27;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-311;-33.588977;-70.618578
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;Única;18;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-317;-33.556972;-70.616542
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;Única;12;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-318;-33.585495;-70.636257
La Pintana;14-319;Centro de Salud Familiar El Roble;Única;22;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-319;-33.563873;-70.647535
La Pintana;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;Única;25;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-327;-33.595431;-70.621698
La Reina;12-317;Centro de Salud Familiar Ossandon;Única;48;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-317;-33.442855;-70.54447
La Reina;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-320;-33.456864;-70.532647
La Reina;12-530;Hospital Militar de Santiago;Única;70;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-530;-33.45281;-70.56351
Lampa;09-311;Centro de Salud Familiar José Bauza Frau;Única;29;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-311;-33.285648;-70.876237
Lampa;09-312;Centro de Salud Familiar Batuco;Única;13;Personas 65 años de edad;Neumocócica polisacárida 23V;Norte;09-312;-33.241849;-70.81415
Las Condes;12-204;Nueva Clínica Cordillera;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-204;-33.42206;-70.52727
Las Condes;12-212;Clínica Las Condes;Única;33;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-212;-33.384094;-70.530151
Las Condes;12-238;Hospital FACH;Única;58;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-238;-33.395327;-70.548074
Las Condes;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-261;-33.40132;-70.51837
Las Condes;12-272;Centro Médico Militar Rosa O'Higgins;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-272;-33.405309;-70.585445
Las Condes;12-304;Centro de Salud Familiar Apoquindo;Única;608;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-304;-33.400414;-70.56441
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;Única;20;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-306;-33.417067;-70.53311
Las Condes;12-950;Hospital Clínico Universidad de Los Andes;Única;12;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-950;-33.40656;-70.50017
Las Condes;201094;Vacunatorio Medicien Alto El Plomo;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;201094;-33.404764;-70.570812
Las Condes;201157;Centro Médico y Dental Arauco Salud;Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;201157;-33.402191;-70.578247
Lo Barnechea;12-307;Centro de Salud Familiar Lo Barnechea;Única;43;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-307;-33.351854;-70.509989
Lo Barnechea;12-522;Centro Médico Clínica Santa María La Dehesa;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-522;-33.357673;-70.51444
Lo Barnechea;12-527;Centro Médico Clínica Alemana (La Dehesa);Única;25;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-527;-33.355705;-70.526293
Lo Barnechea;12-906;Clínica MEDS La Dehesa;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-906;-33.36385;-70.5446
Lo Espejo;13-308;Centro de Salud Familiar Clara Estrella;Única;22;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-308;-33.514933;-70.676174
Lo Espejo;13-309;Centro de Salud Familiar Julio Acuña Pinzón;Única;7;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-309;-33.522431;-70.69732
Lo Espejo;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Única;8;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-310;-33.507423;-70.694073
Lo Espejo;13-396;Centro de Salud Familiar Pueblo Lo Espejo;Única;20;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-396;-33.53472;-70.696425
Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Única;38;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-315;-33.43929;-70.7093
Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Única;48;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-316;-33.450001;-70.730087
Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Única;45;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-340;-33.451755;-70.71605
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Única;66;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-345;-33.436875;-70.740448
Macul;12-312;Centro de Salud Familiar Félix de Amesti;Única;18;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-312;-33.501502;-70.593927
Macul;12-313;Centro de Salud Familiar Santa Julia;Única;12;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-313;-33.476364;-70.592875
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;Única;86;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-319;-33.493484;-70.615109
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-512;-33.497116;-70.614619
Maipú;11-304;Centro de Salud Familiar Maipú;Única;75;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-304;-33.504315;-70.75815
Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Única;73;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-308;-33.505433;-70.774352
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Única;17;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-309;-33.514065;-70.796603
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Única;19;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-378;-33.484273;-70.771353
Maipú;11-379;Centro de Salud Familiar Clotario Blest;Única;65;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-379;-33.490025;-70.744879
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Única;38;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-380;-33.52776;-70.796393
Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Única;96;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-382;-33.525395;-70.767836
Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Única;29;Personas 65 años de edad;Neumocócica polisacárida 23V;Central;11-383;-33.473168;-70.75602
María Pinto;10-385;Centro de Salud Familiar Adriana Madrid De Costabal;Única;11;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-385;-33.51714;-71.125008
Melipilla;10-378;Centro de Salud Familiar Dr. Edelberto Elgueta;Única;77;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-378;-33.681498;-71.22595
Melipilla;10-379;Centro de Salud Familiar Dr. Francisco Boris Soler;Única;21;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-379;-33.700239;-71.218134
Melipilla;10-380;Centro de Salud Familiar San Manuel;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-380;-33.773496;-71.257568
Melipilla;10-381;Centro de Salud Familiar Alfarera Rosa Reyes Vilches;Única;8;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-381;-33.649845;-71.15045
Melipilla;10-440;Posta de Salud Rural Bollenar;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-440;-33.569087;-71.210906
Melipilla;10-445;Posta de Salud Rural Pahuilmo;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-445;-33.569161;-71.11575
Melipilla;10-455;Posta de salud Rural Pabellón;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-455;-33.750621;-71.198276
Melipilla;10-938;Centro de Salud Familiar Florencia;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-938;-33.684442;-71.213312
Padre Hurtado;10-366;Centro de Salud Familiar Juan Pablo II ( Padre Hurtado);Única;35;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-366;-33.569779;-70.805151
Paine;13-318;Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Única;51;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-318;-33.804827;-70.741211
Paine;13-319;Centro de Salud Familiar Dr. Raúl Moya;Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-319;-33.868535;-70.747995
Paine;13-408;Posta de Salud Rural Pintué;Única;5;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-408;-33.88597;-70.892169
Paine;13-409;Posta de Salud Rural Huelquén;Única;6;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-409;-33.832761;-70.643261
Paine;13-411;Posta de Salud Rural Abrantes;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-411;-33.85926;-70.850687
Pedro Aguirre Cerda;11-303;Centro de Salud Familiar Lo Valledor Norte;Única;23;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;11-303;-33.488282;-70.686377
Pedro Aguirre Cerda;13-303;Centro de Salud Familiar Amador Neghme;Única;52;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-303;-33.503461;-70.676059
Pedro Aguirre Cerda;13-306;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Única;43;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-306;-33.48971;-70.676018
Pedro Aguirre Cerda;13-331;Centro de Salud Familiar Edgardo Enríquez Fröedden;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Sur;13-331;-33.480185;-70.669075
Peñaflor;10-308;Centro de Salud Familiar Peñaflor;Única;46;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-308;-33.6088;-70.896258
Peñaflor;10-369;Centro de Salud Familiar Dr. Fernando Monckeberg;Única;10;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-369;-33.609978;-70.871635
Peñalolén;12-275;Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex;Única;2;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-275;-33.48292;-70.557327
Peñalolén;12-314;Centro de Salud Familiar La Faena;Única;22;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-314;-33.467931;-70.556011
Peñalolén;12-315;Centro de Salud Familiar San Luis;Única;14;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-315;-33.508122;-70.577994
Peñalolén;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;Única;56;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-316;-33.476897;-70.542996
Peñalolén;12-318;Centro de Salud Familiar Lo Hermida;Única;15;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-318;-33.476942;-70.562722
Peñalolén;12-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única;4;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-321;-33.470387;-70.532225
Peñalolén;12-322;Centro de Salud Familiar Padre Gerardo Whelan;Única;12;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-322;-33.473974;-70.574226
Peñalolén;12-930;Clínica Las Condes Peñalolén;Única;14;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-930;-33.489949;-70.544831
Peñalolén;201112;CESFAM Las Torres;Única;14;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;201112;-33.50287;-70.577602
Pirque;14-310;Centro de Salud Familiar Dr. José Manuel Balmaceda;Única;14;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-310;-33.635077;-70.572477
Pirque;14-333;Centro de Salud Rural El Principal;Única;17;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-333;-33.720684;-70.553279
Providencia;12-211;Clínica Indisa;Única;8;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-211;-33.43333;-70.62855
Providencia;12-249;Clínica Santa María;Única;29;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-249;-33.43282;-70.62822
Providencia;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;Única;52;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-301;-33.444228;-70.620427
Providencia;12-302;Centro de Salud Familiar Dr. Alfonso Leng;Única;51;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-302;-33.431406;-70.618809
Providencia;12-303;Centro de Salud Familiar Aguilucho;Única;54;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-303;-33.442673;-70.597096
Providencia;12-943;Vacunatorio RENVAC;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-943;-33.425381;-70.614023
Providencia;12-945;Vacunatorio Clínica El Bosque;Única;9;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;12-945;-33.42821;-70.619211
Providencia;200919;VACUMED;Única;1;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;200919;-33.435545;-70.631183
Providencia;201156;VAXPROSALUD;Única;3;Personas 65 años de edad;Neumocócica polisacárida 23V;Oriente;201156;-33.427625;-70.592504
Pudahuel;10-350;Centro de Salud Familiar Pudahuel Estrella;Única;41;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-350;-33.437387;-70.750666
Pudahuel;10-351;Centro de Salud Familiar Pudahuel Poniente;Única;17;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-351;-33.447426;-70.76289
Pudahuel;10-352;Centro de Salud Familiar Dr. Gustavo Molina;Única;41;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-352;-33.458131;-70.76084
Pudahuel;10-353;Centro de Salud Familiar Cardenal Raúl Silva Henríquez;Única;21;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-353;-33.429;-70.770919
Pudahuel;10-354;Centro de Salud Familiar Violeta Parra;Única;111;Personas 65 años de edad;Neumocócica polisacárida 23V;Occidente;10-354;-33.456935;-70.742752
Puente Alto;14-301;Centro de Salud Familiar Dr. Alejandro del Río;Única;43;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-301;-33.607158;-70.578452
Puente Alto;14-312;Centro de Salud Familiar San Gerónimo;Única;35;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-312;-33.623527;-70.588387
Puente Alto;14-313;Centro de Salud Familiar Vista Hermosa;Única;11;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-313;-33.61107;-70.521039
Puente Alto;14-320;Centro de Salud Familiar Bernardo Leighton;Única;63;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-320;-33.584276;-70.604383
Puente Alto;14-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única;17;Personas 65 años de edad;Neumocócica polisacárida 23V;Suroriente;14-321;-33.627923;-70.616459
