Comuna;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Lo Espejo;2° dosis;3;Población General;Sur
Lo Espejo;Única;10545;Población General;Sur
Lo Prado;1° dosis;770;Población General;Occidente
Lo Prado;2° dosis;8;Población General;Occidente
Lo Prado;EPRO;4;Población General;Occidente
Lo Prado;Única;20594;Población General;Occidente
Macul;1° dosis;1058;Población General;Oriente
Macul;2° dosis;4;Población General;Oriente
Macul;EPRO;10;Población General;Oriente
Macul;Única;17748;Población General;Oriente
Maipú;1° dosis;1475;Población General;Central
Maipú;2° dosis;7;Población General;Central
Maipú;EPRO;12;Población General;Central
Maipú;Única;59733;Población General;Central
María Pinto;1° dosis;54;Población General;Occidente
María Pinto;2° dosis;2;Población General;Occidente
María Pinto;EPRO;1;Población General;Occidente
María Pinto;Única;3085;Población General;Occidente
Melipilla;1° dosis;780;Población General;Occidente
Melipilla;2° dosis;4;Población General;Occidente
Melipilla;EPRO;3;Población General;Occidente
Melipilla;Única;26737;Población General;Occidente
Padre Hurtado;1° dosis;290;Población General;Occidente
Padre Hurtado;Única;6653;Población General;Occidente
Paine;1° dosis;331;Población General;Sur
Paine;2° dosis;3;Población General;Sur
Paine;EPRO;3;Población General;Sur
Paine;Única;9408;Población General;Sur
Pedro Aguirre Cerda;1° dosis;623;Población General;Sur
Pedro Aguirre Cerda;2° dosis;4;Población General;Sur
Pedro Aguirre Cerda;Única;15630;Población General;Sur
Peñaflor;1° dosis;239;Población General;Occidente
Peñaflor;2° dosis;1;Población General;Occidente
Peñaflor;Única;10176;Población General;Occidente
Peñalolén;1° dosis;1263;Población General;Oriente
Peñalolén;2° dosis;5;Población General;Oriente
Peñalolén;EPRO;11;Población General;Oriente
Peñalolén;Única;29835;Población General;Oriente
Pirque;1° dosis;61;Población General;Suroriente
Pirque;2° dosis;2;Población General;Suroriente
Pirque;EPRO;1;Población General;Suroriente
Pirque;Única;3734;Población General;Suroriente
Providencia;1° dosis;599;Población General;Oriente
Providencia;2° dosis;9;Población General;Oriente
Providencia;EPRO;8;Población General;Oriente
Providencia;Única;32553;Población General;Oriente
Pudahuel;1° dosis;1080;Población General;Occidente
Pudahuel;2° dosis;5;Población General;Occidente
Pudahuel;EPRO;6;Población General;Occidente
Pudahuel;Única;34657;Población General;Occidente
Puente Alto;1° dosis;2186;Población General;Suroriente
Puente Alto;2° dosis;7;Población General;Suroriente
Puente Alto;EPRO;13;Población General;Suroriente
Puente Alto;Única;64949;Población General;Suroriente
Quilicura;1° dosis;1487;Población General;Norte
Quilicura;2° dosis;1;Población General;Norte
Quilicura;EPRO;4;Población General;Norte
Quilicura;Única;27077;Población General;Norte
Quinta Normal;1° dosis;2595;Población General;Occidente
Quinta Normal;EPRO;1;Población General;Occidente
Quinta Normal;Única;22890;Población General;Occidente
Recoleta;1° dosis;980;Población General;Norte
Recoleta;2° dosis;3;Población General;Norte
Recoleta;EPRO;3;Población General;Norte
Recoleta;Única;23193;Población General;Norte
Renca;1° dosis;582;Población General;Occidente
Renca;2° dosis;1;Población General;Occidente
Renca;EPRO;2;Población General;Occidente
Renca;Única;15682;Población General;Occidente
San Bernardo;1° dosis;1508;Población General;Sur
San Bernardo;2° dosis;4;Población General;Sur
San Bernardo;EPRO;3;Población General;Sur
San Bernardo;Única;32369;Población General;Sur
San Joaquín;1° dosis;712;Población General;Sur
San Joaquín;2° dosis;3;Población General;Sur
San Joaquín;EPRO;2;Población General;Sur
San Joaquín;Única;14999;Población General;Sur
San José de Maipo;1° dosis;93;Población General;Suroriente
San José de Maipo;2° dosis;1;Población General;Suroriente
San José de Maipo;Única;2754;Población General;Suroriente
San Miguel;1° dosis;567;Población General;Sur
San Miguel;2° dosis;1;Población General;Sur
San Miguel;EPRO;3;Población General;Sur
San Miguel;Única;22875;Población General;Sur
San Pedro;1° dosis;51;Población General;Occidente
San Pedro;Única;2136;Población General;Occidente
San Ramón;1° dosis;443;Población General;Suroriente
San Ramón;2° dosis;1;Población General;Suroriente
San Ramón;EPRO;6;Población General;Suroriente
San Ramón;Única;13872;Población General;Suroriente
Santiago;1° dosis;1643;Población General;Central
Santiago;2° dosis;23;Población General;Central
Santiago;EPRO;7;Población General;Central
Santiago;Única;49639;Población General;Central
Talagante;1° dosis;466;Población General;Occidente
Talagante;2° dosis;2;Población General;Occidente
Talagante;EPRO;2;Población General;Occidente
Talagante;Única;9747;Población General;Occidente
Tiltil;1° dosis;171;Población General;Norte
Tiltil;2° dosis;2;Población General;Norte
Tiltil;Única;3796;Población General;Norte
Vitacura;1° dosis;722;Población General;Oriente
Vitacura;EPRO;1;Población General;Oriente
Vitacura;Única;17416;Población General;Oriente
Ñuñoa;1° dosis;612;Población General;Oriente
Ñuñoa;2° dosis;6;Población General;Oriente
Ñuñoa;EPRO;2;Población General;Oriente
Ñuñoa;Única;22320;Población General;Oriente
Alhué;Única;533;Personas mayores de 65 años y más;Occidente
Buin;EPRO;2;Personas mayores de 65 años y más;Sur
Buin;Única;4627;Personas mayores de 65 años y más;Sur
Calera de Tango;Única;1168;Personas mayores de 65 años y más;Sur
Cerrillos;Única;4206;Personas mayores de 65 años y más;Central
Cerro Navia;Única;5848;Personas mayores de 65 años y más;Occidente
Colina;Única;4597;Personas mayores de 65 años y más;Norte
Conchalí;Única;7532;Personas mayores de 65 años y más;Norte
Curacaví;EPRO;2;Personas mayores de 65 años y más;Occidente
Curacaví;Única;1521;Personas mayores de 65 años y más;Occidente
El Bosque;Única;10039;Personas mayores de 65 años y más;Sur
El Monte;Única;1314;Personas mayores de 65 años y más;Occidente
Estación Central;EPRO;3;Personas mayores de 65 años y más;Central
Estación Central;Única;6204;Personas mayores de 65 años y más;Central
Huechuraba;EPRO;1;Personas mayores de 65 años y más;Norte
Huechuraba;Única;5141;Personas mayores de 65 años y más;Norte
Independencia;EPRO;1;Personas mayores de 65 años y más;Norte
Independencia;Única;5490;Personas mayores de 65 años y más;Norte
Isla de Maipo;EPRO;2;Personas mayores de 65 años y más;Occidente
Isla de Maipo;Única;2169;Personas mayores de 65 años y más;Occidente
La Cisterna;EPRO;1;Personas mayores de 65 años y más;Sur
La Cisterna;Única;6044;Personas mayores de 65 años y más;Sur
La Florida;EPRO;3;Personas mayores de 65 años y más;Suroriente
La Florida;Única;21636;Personas mayores de 65 años y más;Suroriente
La Granja;EPRO;3;Personas mayores de 65 años y más;Suroriente
La Granja;Única;7898;Personas mayores de 65 años y más;Suroriente
La Pintana;Única;6610;Personas mayores de 65 años y más;Suroriente
La Reina;EPRO;1;Personas mayores de 65 años y más;Oriente
La Reina;Única;5937;Personas mayores de 65 años y más;Oriente
Lampa;Única;2997;Personas mayores de 65 años y más;Norte
Las Condes;EPRO;1;Personas mayores de 65 años y más;Oriente
Las Condes;Única;20970;Personas mayores de 65 años y más;Oriente
Lo Barnechea;Única;4565;Personas mayores de 65 años y más;Oriente
Lo Espejo;Única;4432;Personas mayores de 65 años y más;Sur
Lo Prado;EPRO;1;Personas mayores de 65 años y más;Occidente
Lo Prado;Única;8493;Personas mayores de 65 años y más;Occidente
Macul;EPRO;5;Personas mayores de 65 años y más;Oriente
Macul;Única;7029;Personas mayores de 65 años y más;Oriente
Maipú;EPRO;7;Personas mayores de 65 años y más;Central
Maipú;Única;26078;Personas mayores de 65 años y más;Central
María Pinto;Única;1013;Personas mayores de 65 años y más;Occidente
Melipilla;EPRO;1;Personas mayores de 65 años y más;Occidente
Melipilla;Única;7524;Personas mayores de 65 años y más;Occidente
Padre Hurtado;Única;2489;Personas mayores de 65 años y más;Occidente
Paine;EPRO;1;Personas mayores de 65 años y más;Sur
Paine;Única;3511;Personas mayores de 65 años y más;Sur
Pedro Aguirre Cerda;Única;6810;Personas mayores de 65 años y más;Sur
Peñaflor;Única;4469;Personas mayores de 65 años y más;Occidente
Peñalolén;EPRO;8;Personas mayores de 65 años y más;Oriente
Peñalolén;Única;11641;Personas mayores de 65 años y más;Oriente
Pirque;Única;1513;Personas mayores de 65 años y más;Suroriente
Providencia;EPRO;6;Personas mayores de 65 años y más;Oriente
Providencia;Única;9688;Personas mayores de 65 años y más;Oriente
Pudahuel;EPRO;2;Personas mayores de 65 años y más;Occidente
Pudahuel;Única;10946;Personas mayores de 65 años y más;Occidente
Puente Alto;EPRO;4;Personas mayores de 65 años y más;Suroriente
Puente Alto;Única;21660;Personas mayores de 65 años y más;Suroriente
Quilicura;EPRO;1;Personas mayores de 65 años y más;Norte
Quilicura;Única;6418;Personas mayores de 65 años y más;Norte
Quinta Normal;EPRO;1;Personas mayores de 65 años y más;Occidente
Quinta Normal;Única;6116;Personas mayores de 65 años y más;Occidente
Recoleta;EPRO;1;Personas mayores de 65 años y más;Norte
Recoleta;Única;8106;Personas mayores de 65 años y más;Norte
Renca;EPRO;1;Personas mayores de 65 años y más;Occidente
Renca;Única;5858;Personas mayores de 65 años y más;Occidente
San Bernardo;EPRO;1;Personas mayores de 65 años y más;Sur
San Bernardo;Única;9794;Personas mayores de 65 años y más;Sur
San Joaquín;EPRO;2;Personas mayores de 65 años y más;Sur
San Joaquín;Única;5779;Personas mayores de 65 años y más;Sur
San José de Maipo;Única;1000;Personas mayores de 65 años y más;Suroriente
San Miguel;EPRO;1;Personas mayores de 65 años y más;Sur
San Miguel;Única;7568;Personas mayores de 65 años y más;Sur
San Pedro;Única;674;Personas mayores de 65 años y más;Occidente
San Ramón;EPRO;2;Personas mayores de 65 años y más;Suroriente
San Ramón;Única;4523;Personas mayores de 65 años y más;Suroriente
Santiago;EPRO;1;Personas mayores de 65 años y más;Central
Santiago;Única;15398;Personas mayores de 65 años y más;Central
Talagante;EPRO;2;Personas mayores de 65 años y más;Occidente
Talagante;Única;3304;Personas mayores de 65 años y más;Occidente
Tiltil;Única;1149;Personas mayores de 65 años y más;Norte
Vitacura;EPRO;1;Personas mayores de 65 años y más;Oriente
Vitacura;Única;6508;Personas mayores de 65 años y más;Oriente
Ñuñoa;EPRO;1;Personas mayores de 65 años y más;Oriente
Ñuñoa;Única;12436;Personas mayores de 65 años y más;Oriente
Alhué;1° dosis;40;Niños y niñas de 6 meses a 5 años de edad;Occidente
Alhué;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Occidente
Alhué;Única;128;Niños y niñas de 6 meses a 5 años de edad;Occidente
Buin;1° dosis;458;Niños y niñas de 6 meses a 5 años de edad;Sur
Buin;2° dosis;11;Niños y niñas de 6 meses a 5 años de edad;Sur
Buin;Única;1998;Niños y niñas de 6 meses a 5 años de edad;Sur
Calera de Tango;1° dosis;61;Niños y niñas de 6 meses a 5 años de edad;Sur
Calera de Tango;Única;646;Niños y niñas de 6 meses a 5 años de edad;Sur
Cerrillos;1° dosis;358;Niños y niñas de 6 meses a 5 años de edad;Central
Cerrillos;2° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Central
Cerrillos;Única;1223;Niños y niñas de 6 meses a 5 años de edad;Central
Cerro Navia;1° dosis;564;Niños y niñas de 6 meses a 5 años de edad;Occidente
Cerro Navia;2° dosis;6;Niños y niñas de 6 meses a 5 años de edad;Occidente
Cerro Navia;EPRO;2;Niños y niñas de 6 meses a 5 años de edad;Occidente
Cerro Navia;Única;1324;Niños y niñas de 6 meses a 5 años de edad;Occidente
Colina;1° dosis;1114;Niños y niñas de 6 meses a 5 años de edad;Norte
Colina;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Norte
Colina;Única;4155;Niños y niñas de 6 meses a 5 años de edad;Norte
Conchalí;1° dosis;422;Niños y niñas de 6 meses a 5 años de edad;Norte
Conchalí;2° dosis;8;Niños y niñas de 6 meses a 5 años de edad;Norte
Conchalí;Única;1442;Niños y niñas de 6 meses a 5 años de edad;Norte
Curacaví;1° dosis;153;Niños y niñas de 6 meses a 5 años de edad;Occidente
Curacaví;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Occidente
Curacaví;Única;427;Niños y niñas de 6 meses a 5 años de edad;Occidente
El Bosque;1° dosis;731;Niños y niñas de 6 meses a 5 años de edad;Sur
El Bosque;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Sur
El Bosque;Única;4267;Niños y niñas de 6 meses a 5 años de edad;Sur
El Monte;1° dosis;76;Niños y niñas de 6 meses a 5 años de edad;Occidente
El Monte;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Occidente
El Monte;Única;210;Niños y niñas de 6 meses a 5 años de edad;Occidente
Estación Central;1° dosis;959;Niños y niñas de 6 meses a 5 años de edad;Central
Estación Central;2° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Central
Estación Central;Única;2138;Niños y niñas de 6 meses a 5 años de edad;Central
Huechuraba;1° dosis;877;Niños y niñas de 6 meses a 5 años de edad;Norte
Huechuraba;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Norte
Huechuraba;Única;2715;Niños y niñas de 6 meses a 5 años de edad;Norte
Independencia;1° dosis;415;Niños y niñas de 6 meses a 5 años de edad;Norte
Independencia;2° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Norte
Independencia;Única;1371;Niños y niñas de 6 meses a 5 años de edad;Norte
Isla de Maipo;1° dosis;140;Niños y niñas de 6 meses a 5 años de edad;Occidente
Isla de Maipo;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Occidente
Isla de Maipo;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Occidente
Isla de Maipo;Única;558;Niños y niñas de 6 meses a 5 años de edad;Occidente
La Cisterna;1° dosis;308;Niños y niñas de 6 meses a 5 años de edad;Sur
La Cisterna;2° dosis;14;Niños y niñas de 6 meses a 5 años de edad;Sur
La Cisterna;Única;1043;Niños y niñas de 6 meses a 5 años de edad;Sur
La Florida;1° dosis;1125;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Florida;2° dosis;9;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Florida;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Florida;Única;4181;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Granja;1° dosis;710;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Granja;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Granja;Única;3582;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Pintana;1° dosis;534;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Pintana;2° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Pintana;EPRO;22;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Pintana;Única;2104;Niños y niñas de 6 meses a 5 años de edad;Suroriente
La Reina;1° dosis;358;Niños y niñas de 6 meses a 5 años de edad;Oriente
La Reina;Única;1705;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lampa;1° dosis;643;Niños y niñas de 6 meses a 5 años de edad;Norte
Lampa;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Norte
Lampa;Única;1979;Niños y niñas de 6 meses a 5 años de edad;Norte
Las Condes;1° dosis;966;Niños y niñas de 6 meses a 5 años de edad;Oriente
Las Condes;2° dosis;14;Niños y niñas de 6 meses a 5 años de edad;Oriente
Las Condes;Única;3617;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lo Barnechea;1° dosis;630;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lo Barnechea;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lo Barnechea;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lo Barnechea;Única;2411;Niños y niñas de 6 meses a 5 años de edad;Oriente
Lo Espejo;1° dosis;225;Niños y niñas de 6 meses a 5 años de edad;Sur
Lo Espejo;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Sur
Lo Espejo;Única;1055;Niños y niñas de 6 meses a 5 años de edad;Sur
Lo Prado;1° dosis;455;Niños y niñas de 6 meses a 5 años de edad;Occidente
Lo Prado;2° dosis;7;Niños y niñas de 6 meses a 5 años de edad;Occidente
Lo Prado;Única;1664;Niños y niñas de 6 meses a 5 años de edad;Occidente
Macul;1° dosis;609;Niños y niñas de 6 meses a 5 años de edad;Oriente
Macul;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Oriente
Macul;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Oriente
Macul;Única;1750;Niños y niñas de 6 meses a 5 años de edad;Oriente
Maipú;1° dosis;1311;Niños y niñas de 6 meses a 5 años de edad;Central
Maipú;2° dosis;6;Niños y niñas de 6 meses a 5 años de edad;Central
Maipú;Única;4601;Niños y niñas de 6 meses a 5 años de edad;Central
María Pinto;1° dosis;53;Niños y niñas de 6 meses a 5 años de edad;Occidente
María Pinto;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Occidente
María Pinto;Única;369;Niños y niñas de 6 meses a 5 años de edad;Occidente
Melipilla;1° dosis;688;Niños y niñas de 6 meses a 5 años de edad;Occidente
Melipilla;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Occidente
Melipilla;Única;3600;Niños y niñas de 6 meses a 5 años de edad;Occidente
Padre Hurtado;1° dosis;236;Niños y niñas de 6 meses a 5 años de edad;Occidente
Padre Hurtado;Única;709;Niños y niñas de 6 meses a 5 años de edad;Occidente
Paine;1° dosis;316;Niños y niñas de 6 meses a 5 años de edad;Sur
Paine;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Sur
Paine;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Sur
Paine;Única;1039;Niños y niñas de 6 meses a 5 años de edad;Sur
Pedro Aguirre Cerda;1° dosis;428;Niños y niñas de 6 meses a 5 años de edad;Sur
Pedro Aguirre Cerda;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Sur
Pedro Aguirre Cerda;Única;1738;Niños y niñas de 6 meses a 5 años de edad;Sur
Peñaflor;1° dosis;214;Niños y niñas de 6 meses a 5 años de edad;Occidente
Peñaflor;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Occidente
Peñaflor;Única;561;Niños y niñas de 6 meses a 5 años de edad;Occidente
Peñalolén;1° dosis;796;Niños y niñas de 6 meses a 5 años de edad;Oriente
Peñalolén;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Oriente
Peñalolén;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Oriente
Peñalolén;Única;2793;Niños y niñas de 6 meses a 5 años de edad;Oriente
Pirque;1° dosis;61;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Pirque;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Pirque;Única;341;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Providencia;1° dosis;464;Niños y niñas de 6 meses a 5 años de edad;Oriente
Providencia;2° dosis;8;Niños y niñas de 6 meses a 5 años de edad;Oriente
Providencia;Única;1622;Niños y niñas de 6 meses a 5 años de edad;Oriente
Pudahuel;1° dosis;882;Niños y niñas de 6 meses a 5 años de edad;Occidente
Pudahuel;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Occidente
Pudahuel;Única;3390;Niños y niñas de 6 meses a 5 años de edad;Occidente
Puente Alto;1° dosis;1726;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Puente Alto;2° dosis;7;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Puente Alto;EPRO;4;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Puente Alto;Única;8529;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Quilicura;1° dosis;1057;Niños y niñas de 6 meses a 5 años de edad;Norte
Quilicura;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Norte
Quilicura;Única;4338;Niños y niñas de 6 meses a 5 años de edad;Norte
Quinta Normal;1° dosis;1158;Niños y niñas de 6 meses a 5 años de edad;Occidente
Quinta Normal;Única;2833;Niños y niñas de 6 meses a 5 años de edad;Occidente
Recoleta;1° dosis;721;Niños y niñas de 6 meses a 5 años de edad;Norte
Recoleta;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Norte
Recoleta;Única;2393;Niños y niñas de 6 meses a 5 años de edad;Norte
Renca;1° dosis;467;Niños y niñas de 6 meses a 5 años de edad;Occidente
Renca;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Occidente
Renca;Única;1712;Niños y niñas de 6 meses a 5 años de edad;Occidente
San Bernardo;1° dosis;986;Niños y niñas de 6 meses a 5 años de edad;Sur
San Bernardo;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Sur
San Bernardo;Única;3988;Niños y niñas de 6 meses a 5 años de edad;Sur
San Joaquín;1° dosis;495;Niños y niñas de 6 meses a 5 años de edad;Sur
San Joaquín;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Sur
San Joaquín;Única;1848;Niños y niñas de 6 meses a 5 años de edad;Sur
San José de Maipo;1° dosis;63;Niños y niñas de 6 meses a 5 años de edad;Suroriente
San José de Maipo;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Suroriente
San José de Maipo;Única;186;Niños y niñas de 6 meses a 5 años de edad;Suroriente
San Miguel;1° dosis;392;Niños y niñas de 6 meses a 5 años de edad;Sur
San Miguel;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Sur
San Miguel;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Sur
San Miguel;Única;1758;Niños y niñas de 6 meses a 5 años de edad;Sur
San Pedro;1° dosis;51;Niños y niñas de 6 meses a 5 años de edad;Occidente
San Pedro;Única;101;Niños y niñas de 6 meses a 5 años de edad;Occidente
San Ramón;1° dosis;306;Niños y niñas de 6 meses a 5 años de edad;Suroriente
San Ramón;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Suroriente
San Ramón;Única;1347;Niños y niñas de 6 meses a 5 años de edad;Suroriente
Santiago;1° dosis;1404;Niños y niñas de 6 meses a 5 años de edad;Central
Santiago;2° dosis;22;Niños y niñas de 6 meses a 5 años de edad;Central
Santiago;Única;3990;Niños y niñas de 6 meses a 5 años de edad;Central
Talagante;1° dosis;370;Niños y niñas de 6 meses a 5 años de edad;Occidente
Talagante;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Occidente
Talagante;Única;919;Niños y niñas de 6 meses a 5 años de edad;Occidente
Tiltil;1° dosis;107;Niños y niñas de 6 meses a 5 años de edad;Norte
Tiltil;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Norte
Tiltil;Única;408;Niños y niñas de 6 meses a 5 años de edad;Norte
Vitacura;1° dosis;451;Niños y niñas de 6 meses a 5 años de edad;Oriente
Vitacura;Única;1644;Niños y niñas de 6 meses a 5 años de edad;Oriente
Ñuñoa;1° dosis;592;Niños y niñas de 6 meses a 5 años de edad;Oriente
Ñuñoa;2° dosis;6;Niños y niñas de 6 meses a 5 años de edad;Oriente
Ñuñoa;Única;1639;Niños y niñas de 6 meses a 5 años de edad;Oriente
Alhué;Única;12;Estrategia Capullo;Occidente
Buin;Única;65;Estrategia Capullo;Sur
Calera de Tango;Única;1;Estrategia Capullo;Sur
Cerrillos;Única;7;Estrategia Capullo;Central
Cerro Navia;Única;35;Estrategia Capullo;Occidente
Colina;Única;5;Estrategia Capullo;Norte
Conchalí;Única;13;Estrategia Capullo;Norte
Curacaví;Única;16;Estrategia Capullo;Occidente
El Bosque;Única;62;Estrategia Capullo;Sur
El Monte;Única;1;Estrategia Capullo;Occidente
Estación Central;Única;15;Estrategia Capullo;Central
Huechuraba;Única;58;Estrategia Capullo;Norte
Independencia;Única;24;Estrategia Capullo;Norte
Isla de Maipo;Única;13;Estrategia Capullo;Occidente
La Cisterna;Única;59;Estrategia Capullo;Sur
La Florida;Única;27;Estrategia Capullo;Suroriente
La Granja;Única;5;Estrategia Capullo;Suroriente
La Pintana;Única;20;Estrategia Capullo;Suroriente
La Reina;Única;47;Estrategia Capullo;Oriente
Lampa;Única;9;Estrategia Capullo;Norte
Las Condes;Única;40;Estrategia Capullo;Oriente
Lo Barnechea;Única;19;Estrategia Capullo;Oriente
